"Consumer Price Index - Average Price Data","","","","","","","","","","","","",""
"Original Data Value","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Series Id:","APU0000711417","","","","","","","","","","","",""
"Area:","U.S. city average","","","","","","","","","","","",""
"Item:","Grapes, Thompson Seedless, per lb. (453.6 gm)","","","","","","","","","","","",""
"Years:","2004 to 2014","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"2004.0","1.856","1.615","1.581","2.113","2.599","1.945","1.682","1.501","1.605","2.346","2.768","3.093",""
"2005.0","2.706","1.883","1.514","1.869","2.506","1.894","1.929","1.701","1.662","2.022","2.497","2.757",""
"2006.0","2.59","2.015","1.864","1.757","2.395","2.478","2.534","1.821","1.846","2.23","2.536","2.891",""
"2007.0","2.591","1.989","1.763","1.957","2.748","2.035","1.778","1.701","1.612","2.114","2.721","",""
"2008.0","3.411","2.219","1.936","2.282","2.53","2.062","1.875","1.8","1.707","1.972","2.289","2.459",""
"2009.0","2.169","1.987","1.803","1.894","2.431","2.19","1.915","1.615","1.638","2.009","2.523","3.137",""
"2010.0","3.07","2.236","2.526","2.07","2.486","2.081","1.618","1.489","1.622","1.805","2.295","2.871",""
"2011.0","3.002","2.393","2.209","2.196","2.828","2.378","2.452","2.033","1.849","2.079","2.347","2.86",""
"2012.0","2.648","2.294","2.151","2.687","3.054","2.617","2.268","1.961","1.988","2.34","2.758","3.085",""
"2013.0","3.035","3.148","2.413","2.452","3.008","2.533","2.193","1.821","1.847","","2.412","2.568",""
"2014.0","2.807","2.872","2.694","3.059","3.158","2.465","2.356","2.132","","","","",""
