"Date","Storage(acre-feet)"
2001-11-02,25
2001-11-03,25
2001-11-04,25
2001-11-05,25
2001-11-06,25
2001-11-07,25
2001-11-08,25
2001-11-09,25
2001-11-10,25
2001-11-11,25
2001-11-12,25
2001-11-13,25
2001-11-14,25
2001-11-15,25
2001-11-16,25
2001-11-17,25
2001-11-18,25
2001-11-19,25
2001-11-20,25
2001-11-21,25
2001-11-22,25
2001-11-23,25
2001-11-24,25
2001-11-25,25
2001-11-26,25
2001-11-27,25
2001-11-28,25
2001-11-29,25
2001-11-30,25
2001-12-01,18
2001-12-02,18
2001-12-03,18
2001-12-04,18
2001-12-05,18
2001-12-06,18
2001-12-07,19
2001-12-08,19
2001-12-09,19
2001-12-10,19
2001-12-11,19
2001-12-12,19
2001-12-13,19
2001-12-14,19
2001-12-15,19
2001-12-16,19
2001-12-17,19
2001-12-18,19
2001-12-19,19
2001-12-20,19
2001-12-21,19
2001-12-22,19
2001-12-23,19
2001-12-24,19
2001-12-25,19
2001-12-26,19
2001-12-27,19
2001-12-28,19
2001-12-29,19
2001-12-30,19
2001-12-31,19
2002-01-01,19
2002-01-02,19
2002-01-03,19
2002-01-04,19
2002-01-05,19
2002-01-06,19
2002-01-07,19
2002-01-08,19
2002-01-09,19
2002-01-10,19
2002-01-11,19
2002-01-12,19
2002-01-13,19
2002-01-14,19
2002-01-15,19
2002-01-16,19
2002-01-17,19
2002-01-18,19
2002-01-19,19
2002-01-20,19
2002-01-21,19
2002-01-22,19
2002-01-23,19
2002-01-24,19
2002-01-25,19
2002-01-26,19
2002-01-27,19
2002-01-28,19
2002-01-29,19
2002-01-30,19
2002-01-31,19
2002-02-01,14
2002-02-02,14
2002-02-03,14
2002-02-04,14
2002-02-05,14
2002-02-06,17
2002-02-07,17
2002-02-08,14
2002-02-09,14
2002-02-10,14
2002-02-11,14
2002-02-12,14
2002-02-13,14
2002-02-14,14
2002-02-15,14
2002-02-16,14
2002-02-17,14
2002-02-18,14
2002-02-19,14
2002-02-20,14
2002-02-21,14
2002-02-22,14
2002-02-23,14
2002-02-24,14
2002-02-25,14
2002-02-26,14
2002-02-27,14
2002-02-28,14
2002-03-01,65
2002-03-02,65
2002-03-03,65
2002-03-04,65
2002-03-05,65
2002-03-06,65
2002-03-07,66
2002-03-08,65
2002-03-09,65
2002-03-10,66
2002-03-11,65
2002-03-12,65
2002-03-13,65
2002-03-14,66
2002-03-15,66
2002-03-16,66
2002-03-17,66
2002-03-18,66
2002-03-19,66
2002-03-20,66
2002-03-21,66
2002-03-22,66
2002-03-23,66
2002-03-24,66
2002-03-25,66
2002-03-26,66
2002-03-27,66
2002-03-28,66
2002-03-29,66
2002-03-30,66
2002-03-31,66
2002-04-01,89
2002-04-02,89
2002-04-03,89
2002-04-04,89
2002-04-05,89
2002-04-06,89
2002-04-07,89
2002-04-08,89
2002-04-09,90
2002-04-10,90
2002-04-11,90
2002-04-12,90
2002-04-13,90
2002-04-14,90
2002-04-15,90
2002-04-16,91
2002-04-17,91
2002-04-18,91
2002-04-19,91
2002-04-20,91
2002-04-21,91
2002-04-22,91
2002-04-23,91
2002-04-24,91
2002-04-25,91
2002-04-26,91
2002-04-27,91
2002-04-28,91
2002-04-29,92
2002-04-30,92
2002-05-01,137
2002-05-02,137
2002-05-03,137
2002-05-04,137
2002-05-05,137
2002-05-06,137
2002-05-07,137
2002-05-08,137
2002-05-09,138
2002-05-10,138
2002-05-11,138
2002-05-12,138
2002-05-13,138
2002-05-14,138
2002-05-15,138
2002-05-16,138
2002-05-17,138
2002-05-18,139
2002-05-19,139
