"Date","Storage(acre-feet)"
2009-03-24,49152
2009-03-25,49462
2009-03-26,49852
2009-03-27,50295
2009-03-28,50688
2009-03-29,51296
2009-03-30,51781
2009-03-31,51894
2009-04-01,52014
2009-04-02,52280
2009-04-03,52826
2009-04-04,52524
2009-04-05,52991
2009-04-06,53683
2009-04-07,54447
2009-04-08,55123
2009-04-09,55667
2009-04-10,56155
2009-04-11,56318
2009-04-12,56884
2009-04-13,57458
2009-04-14,58247
2009-04-15,58927
2009-04-16,59420
2009-04-17,60092
2009-04-18,60911
2009-04-19,61589
2009-04-20,62560
2009-04-21,63658
2009-04-22,64696
2009-04-23,65446
2009-04-24,66413
2009-04-25,67082
2009-04-26,67572
2009-04-27,67593
2009-04-28,68264
2009-04-29,68751
2009-04-30,69222
2009-05-01,69971
2009-05-02,72553
2009-05-03,74717
2009-05-04,76184
2009-05-05,77424
2009-05-06,78542
2009-05-07,79361
2009-05-08,80202
2009-05-09,80928
2009-05-10,81595
2009-05-11,82206
2009-05-12,84297
2009-05-13,88085
2009-05-14,90633
2009-05-15,91508
2009-05-16,91684
2009-05-17,92014
2009-05-18,92548
2009-05-19,92774
2009-05-20,93035
2009-05-21,92872
2009-05-22,92682
2009-05-23,92837
2009-05-24,93140
2009-05-25,93614
2009-05-26,94137
2009-05-27,95053
2009-05-28,96173
2009-05-29,97098
2009-05-30,97140
2009-05-31,96989
2009-06-01,97162
2009-06-02,97450
2009-06-03,97471
2009-06-04,97564
2009-06-05,97564
2009-06-06,97622
2009-06-07,97435
2009-06-08,97227
2009-06-09,97378
2009-06-10,97593
2009-06-11,97694
2009-06-12,97521
2009-06-13,97392
2009-06-14,97277
2009-06-15,97277
2009-06-16,97435
2009-06-17,97478
2009-06-18,97593
2009-06-19,97478
2009-06-20,97371
2009-06-21,97378
2009-06-22,97643
2009-06-23,97629
2009-06-24,97443
2009-06-25,97414
2009-06-26,97335
2009-06-27,97363
2009-06-28,97378
2009-06-29,97313
2009-06-30,97263
2009-07-01,97147
2009-07-02,97255
2009-07-03,97313
2009-07-04,97003
2009-07-05,97083
2009-07-06,96846
2009-07-07,96624
2009-07-08,96215
2009-07-09,96116
2009-07-10,95938
2009-07-11,95795
2009-07-12,95773
2009-07-13,95616
2009-07-14,95666
2009-07-15,95737
2009-07-16,95566
2009-07-17,95652
2009-07-18,95400
2009-07-19,95154
2009-07-20,95011
2009-07-21,95246
2009-07-22,95039
2009-07-23,94613
2009-07-24,94265
2009-07-25,93840
2009-07-26,93267
2009-07-27,92865
2009-07-28,92401
2009-07-29,91522
2009-07-30,90815
2009-07-31,90089
2009-08-01,89401
2009-08-02,88535
2009-08-03,87775
2009-08-04,87136
2009-08-05,86478
2009-08-06,85514
2009-08-07,84636
2009-08-08,83694
2009-08-09,82945
2009-08-10,82313
2009-08-11,81456
2009-08-12,80734
2009-08-13,79970
2009-08-14,79043
2009-08-15,78002
2009-08-16,76960
2009-08-17,76105
2009-08-18,75203
2009-08-19,74356
2009-08-20,73681
2009-08-21,72624
2009-08-22,71590
2009-08-23,70551
2009-08-24,69580
2009-08-25,68527
2009-08-26,67579
2009-08-27,66741
