"Date","Storage(acre-feet)"
2001-11-02,15402
2001-11-03,15396
2001-11-04,15396
2001-11-05,15390
2001-11-06,15390
2001-11-07,15383
2001-11-08,15377
2001-11-09,15377
2001-11-10,15371
2001-11-11,15383
2001-11-12,15408
2001-11-13,15426
2001-11-14,15420
2001-11-15,15426
2001-11-16,15420
2001-11-17,15420
2001-11-18,15420
2001-11-19,15420
2001-11-20,15432
2001-11-21,15420
2001-11-22,15445
2001-11-23,15438
2001-11-24,15463
2001-11-25,15445
2001-11-26,15457
2001-11-27,15457
2001-11-28,15506
2001-11-29,15524
2001-11-30,15536
2001-12-01,15530
2001-12-02,15653
2001-12-03,16395
2001-12-04,16604
2001-12-05,16719
2001-12-06,16757
2001-12-07,16808
2001-12-08,16840
2001-12-09,16866
2001-12-10,16853
2001-12-11,16872
2001-12-12,16891
2001-12-13,16910
2001-12-14,16943
2001-12-15,16975
2001-12-16,17007
2001-12-17,17039
2001-12-18,17065
2001-12-19,17091
2001-12-20,17155
2001-12-21,17226
2001-12-22,17304
2001-12-23,17376
2001-12-24,17421
2001-12-25,17467
2001-12-26,17506
2001-12-27,17546
2001-12-28,17611
2001-12-29,19567
2001-12-30,20699
2001-12-31,21477
2002-01-01,21878
2002-01-02,22247
2002-01-03,23660
2002-01-04,24236
2002-01-05,24554
2002-01-06,24780
2002-01-07,24960
2002-01-08,25117
2002-01-09,25251
2002-01-10,25377
2002-01-11,25480
2002-01-12,25576
2002-01-13,25663
2002-01-14,25742
2002-01-15,25814
2002-01-16,25886
2002-01-17,25958
2002-01-18,26014
2002-01-19,26070
2002-01-20,26126
2002-01-21,26182
2002-01-22,26238
2002-01-23,26287
2002-01-24,26343
2002-01-25,26383
2002-01-26,26448
2002-01-27,26536
2002-01-28,26609
2002-01-29,26690
2002-01-30,26755
2002-01-31,26812
2002-02-01,26861
2002-02-02,26918
2002-02-03,26966
2002-02-04,27015
2002-02-05,27064
2002-02-06,27113
2002-02-07,27179
2002-02-08,27252
2002-02-09,27367
2002-02-10,27449
2002-02-11,27523
2002-02-12,27581
2002-02-13,27630
2002-02-14,27696
2002-02-15,27754
2002-02-16,27820
2002-02-17,27977
2002-02-18,28185
2002-02-19,28360
2002-02-20,28485
2002-02-21,28611
2002-02-22,28711
2002-02-23,28795
2002-02-24,28879
2002-02-25,28955
2002-02-26,29023
2002-02-27,29090
2002-02-28,29158
2002-03-01,29217
2002-03-02,29268
2002-03-03,29319
2002-03-04,29370
2002-03-05,29412
2002-03-06,28393
2002-03-07,30044
2002-03-08,29975
2002-03-09,30164
2002-03-10,30293
2002-03-11,30414
2002-03-12,30517
2002-03-13,30578
2002-03-14,30638
2002-03-15,30725
2002-03-16,30708
2002-03-17,30708
2002-03-18,30925
2002-03-19,31038
2002-03-20,31108
2002-03-21,31177
2002-03-22,31256
2002-03-23,31387
2002-03-24,31721
2002-03-25,31932
2002-03-26,32074
2002-03-27,32198
2002-03-28,32313
2002-03-29,32402
2002-03-30,32491
2002-03-31,32580
2002-04-01,32651
2002-04-02,32723
2002-04-03,32785
2002-04-04,32839
2002-04-05,32893
2002-04-06,32946
2002-04-07,33000
2002-04-08,33063
2002-04-09,33108
2002-04-10,33153
2002-04-11,33198
2002-04-12,33243
2002-04-13,33279
2002-04-14,33315
2002-04-15,33333
2002-04-16,33360
2002-04-17,33405
2002-04-18,33441
2002-04-19,33477
2002-04-20,33513
2002-04-21,33549
2002-04-22,33594
2002-04-23,33621
2002-04-24,33649
2002-04-25,33676
2002-04-26,33703
2002-04-27,33730
2002-04-28,33757
2002-04-29,33803
2002-04-30,33830
2002-05-01,33866
2002-05-02,33893
2002-05-03,33920
2002-05-04,33948
2002-05-05,33957
2002-05-06,33975
2002-05-07,33984
2002-05-08,34002
2002-05-09,34002
2002-05-10,34011
2002-05-11,34011
2002-05-12,34020
2002-05-13,34020
2002-05-14,34030
2002-05-15,34030
2002-05-16,34030
2002-05-17,34030
2002-05-18,34030
2002-05-19,34020
2002-05-20,34075
2002-05-21,34102
2002-05-22,34148
2002-05-23,34175
2002-05-24,34202
2002-05-25,34202
2002-05-26,34212
2002-05-27,34212
2002-05-28,34212
2002-05-29,34221
2002-05-30,34212
2002-05-31,34202
2002-06-01,34221
2002-06-02,34266
2002-06-03,34257
2002-06-04,34248
2002-06-05,34239
2002-06-06,34230
2002-06-07,34221
2002-06-08,34184
2002-06-09,34157
2002-06-10,34048
2002-06-11,33821
2002-06-12,33603
2002-06-13,33297
2002-06-14,32794
2002-06-15,32278
2002-06-16,31862
2002-06-17,31414
2002-06-18,30925
2002-06-19,30422
2002-06-20,29915
2002-06-21,29429
2002-06-22,28964
2002-06-23,28535
2002-06-24,28176
2002-06-25,27886
2002-06-26,27597
2002-06-27,27301
2002-06-28,27007
2002-06-29,26715
2002-06-30,26423
2002-07-01,26134
2002-07-02,25830
2002-07-03,25480
2002-07-04,25125
2002-07-05,24765
2002-07-06,24430
2002-07-07,24105
2002-07-08,23867
2002-07-09,23584
2002-07-10,23189
2002-07-11,22708
2002-07-12,22210
2002-07-13,21790
2002-07-14,21462
2002-07-15,21136
2002-07-16,20806
2002-07-17,20528
2002-07-18,20301
2002-07-19,20111
2002-07-20,19810
2002-07-21,19449
2002-07-22,19112
2002-07-23,18826
2002-07-24,18582
2002-07-25,18267
2002-07-26,17921
2002-07-27,17506
2002-07-28,17175
2002-07-29,16975
2002-07-30,16693
2002-07-31,16307
2002-08-01,15944
2002-08-02,15579
2002-08-03,15371
2002-08-04,15177
2002-08-05,14978
2002-08-06,14750
2002-08-07,14466
2002-08-08,14120
2002-08-09,13808
2002-08-10,13596
2002-08-11,13363
2002-08-12,13144
2002-08-13,12888
2002-08-14,12596
2002-08-15,12303
2002-08-16,12030
2002-08-17,11792
2002-08-18,11587
2002-08-19,11333
2002-08-20,11185
2002-08-21,11001
2002-08-22,10775
2002-08-23,10601
2002-08-24,10551
2002-08-25,10541
2002-08-26,10526
2002-08-27,10526
2002-08-28,10516
2002-08-29,10512
2002-08-30,10502
2002-08-31,10492
2002-09-01,10482
2002-09-02,10477
2002-09-03,10467
2002-09-04,10467
2002-09-05,10452
2002-09-06,10447
2002-09-07,10438
2002-09-08,10428
2002-09-09,10413
2002-09-10,10403
2002-09-11,10398
2002-09-12,10389
2002-09-13,10379
2002-09-14,10379
2002-09-15,10369
2002-09-16,10359
2002-09-17,10345
2002-09-18,10345
2002-09-19,10335
2002-09-20,10330
2002-09-21,10325
2002-09-22,10315
2002-09-23,10305
2002-09-24,10301
2002-09-25,10291
2002-09-26,10286
2002-09-27,10281
2002-09-28,10276
2002-09-29,10266
2002-09-30,10262
2002-10-01,10252
2002-10-02,10242
2002-10-03,10228
2002-10-04,10223
2002-10-05,10213
2002-10-06,10213
2002-10-07,10208
2002-10-08,10198
2002-10-09,10194
2002-10-10,10194
2002-10-11,10189
2002-10-12,10184
2002-10-13,10174
2002-10-14,10169
2002-10-15,10165
2002-10-16,10160
2002-10-17,10155
2002-10-18,10150
2002-10-19,10150
2002-10-20,10145
2002-10-21,10140
2002-10-22,10135
2002-10-23,10131
2002-10-24,10131
2002-10-25,10121
2002-10-26,10116
2002-10-27,10116
2002-10-28,10107
2002-10-29,10102
2002-10-30,10097
2002-10-31,10092
2002-11-01,10087
2002-11-02,10082
2002-11-03,10078
2002-11-04,10073
2002-11-05,10068
2002-11-06,10058
2002-11-07,10097
2002-11-08,10160
2002-11-09,10492
2002-11-10,10685
2002-11-11,10740
2002-11-12,10775
2002-11-13,10795
2002-11-14,10800
2002-11-15,10810
2002-11-16,10815
2002-11-17,10820
2002-11-18,10825
2002-11-19,10835
2002-11-20,10835
2002-11-21,10840
2002-11-22,10840
2002-11-23,10845
2002-11-24,10855
2002-11-25,10855
2002-11-26,10855
2002-11-27,10855
2002-11-28,10860
2002-11-29,10865
2002-11-30,10865
2002-12-01,10865
2002-12-02,10875
2002-12-03,10875
2002-12-04,10875
2002-12-05,10880
2002-12-06,10885
2002-12-07,10880
2002-12-08,10890
2002-12-09,10895
2002-12-10,10900
2002-12-11,10900
2002-12-12,10905
2002-12-13,10921
2002-12-14,10931
2002-12-15,10961
2002-12-16,11598
2002-12-17,13471
2002-12-18,14126
2002-12-19,14389
2002-12-20,14852
2002-12-21,15171
2002-12-22,15347
2002-12-23,15573
2002-12-24,15659
2002-12-25,15739
2002-12-26,15838
2002-12-27,15894
2002-12-28,15956
2002-12-29,16144
2002-12-30,16534
2002-12-31,16770
2003-01-01,17116
2003-01-02,17239
2003-01-03,17376
2003-01-04,17500
2003-01-05,17604
2003-01-06,17710
2003-01-07,17795
2003-01-08,17874
2003-01-09,17947
2003-01-10,18140
2003-01-11,18414
2003-01-12,18575
2003-01-13,18697
2003-01-14,18792
2003-01-15,18887
2003-01-16,18969
2003-01-17,19037
2003-01-18,19105
2003-01-19,19167
2003-01-20,19208
2003-01-21,19277
2003-01-22,19332
2003-01-23,19491
2003-01-24,19532
2003-01-25,19587
2003-01-26,19636
2003-01-27,19685
2003-01-28,19713
2003-01-29,19762
2003-01-30,19810
2003-01-31,19847
2003-02-01,19887
2003-02-02,19922
2003-02-03,19957
2003-02-04,19992
2003-02-05,20027
2003-02-06,20041
2003-02-07,20069
2003-02-08,20104
2003-02-09,20125
2003-02-10,20160
2003-02-11,20181
2003-02-12,20224
2003-02-13,20301
2003-02-14,20436
2003-02-15,20535
2003-02-16,20613
2003-02-17,20784
2003-02-18,20921
2003-02-19,20992
2003-02-20,21057
2003-02-21,21129
2003-02-22,21194
2003-02-23,21245
2003-02-24,21310
2003-02-25,21382
2003-02-26,21462
2003-02-27,21542
2003-02-28,21630
2003-03-01,21703
2003-03-02,21776
2003-03-03,21834
2003-03-04,21900
2003-03-05,21959
2003-03-06,22018
2003-03-07,22070
2003-03-08,22114
2003-03-09,22166
