"Date","Storage(acre-feet)"
2001-04-27,753053
2001-04-28,755706
2001-04-29,759472
2001-04-30,761934
2001-05-01,765390
2001-05-02,769104
2001-05-03,770676
2001-05-04,772456
2001-05-05,774407
2001-05-06,781067
2001-05-07,782195
2001-05-08,782988
2001-05-09,783951
2001-05-10,785165
2001-05-11,786003
2001-05-12,789949
2001-05-13,793528
2001-05-14,794076
2001-05-15,794540
2001-05-16,795849
2001-05-17,796610
2001-05-18,796991
2001-05-19,798048
2001-05-20,800251
2001-05-21,801269
2001-05-22,800971
2001-05-23,800929
2001-05-24,801014
2001-05-25,800717
2001-05-26,800887
2001-05-27,801863
2001-05-28,803732
2001-05-29,803222
2001-05-30,803222
2001-05-31,800251
2001-06-01,799149
2001-06-02,798768
2001-06-03,799530
2001-06-04,799657
2001-06-05,798598
2001-06-06,797118
2001-06-07,794583
2001-06-08,792558
2001-06-09,793064
2001-06-10,793697
2001-06-11,792263
2001-06-12,790159
2001-06-13,788268
2001-06-14,787387
2001-06-15,785249
2001-06-16,784495
2001-06-17,784955
2001-06-18,783030
2001-06-19,782445
2001-06-20,780316
2001-06-21,778357
2001-06-22,776109
2001-06-23,775237
2001-06-24,775653
2001-06-25,773992
2001-06-26,769848
2001-06-27,770882
2001-06-28,768314
2001-06-29,767522
2001-06-30,765926
2001-07-01,766008
2001-07-02,763825
2001-07-03,761113
2001-07-04,760005
2001-07-05,756605
2001-07-06,753012
2001-07-07,750487
2001-07-08,748252
2001-07-09,743511
2001-07-10,738145
2001-07-11,733006
2001-07-12,728208
2001-07-13,725977
2001-07-14,725579
2001-07-15,722360
2001-07-16,718279
2001-07-17,715908
2001-07-18,711024
2001-07-19,703934
2001-07-20,699025
2001-07-21,697161
2001-07-22,695842
2001-07-23,691587
2001-07-24,686964
2001-07-25,682362
2001-07-26,677550
2001-07-27,675114
2001-07-28,672166
2001-07-29,670286
2001-07-30,664827
2001-07-31,661708
2001-08-01,655051
2001-08-02,651351
2001-08-03,646774
2001-08-04,646183
2001-08-05,644595
2001-08-06,640067
2001-08-07,635704
2001-08-08,633074
2001-08-09,627144
2001-08-10,624752
2001-08-11,622259
2001-08-12,619735
2001-08-13,617972
2001-08-14,613418
2001-08-15,607425
2001-08-16,602956
2001-08-17,598682
2001-08-18,596711
2001-08-19,594709
2001-08-20,590893
2001-08-21,586534
2001-08-22,582266
2001-08-23,579880
2001-08-24,575882
2001-08-25,574131
2001-08-26,574131
2001-08-27,570790
2001-08-28,569646
2001-08-29,568826
2001-08-30,565216
2001-08-31,563042
2001-09-01,563212
2001-09-02,563450
2001-09-03,563654
2001-09-04,561518
2001-09-05,560097
2001-09-06,558679
2001-09-07,558004
2001-09-08,557057
2001-09-09,557634
2001-09-10,555646
2001-09-11,554101
2001-09-12,553430
2001-09-13,553430
2001-09-14,550805
2001-09-15,549613
2001-09-16,549914
2001-09-17,549713
2001-09-18,548985
2001-09-19,547012
2001-09-20,545681
2001-09-21,544617
2001-09-22,544098
2001-09-23,544233
2001-09-24,542693
2001-09-25,541434
2001-09-26,540244
2001-09-27,539121
2001-09-28,537967
2001-09-29,538165
2001-09-30,538363
2001-10-01,537276
2001-10-02,535893
2001-10-03,534612
2001-10-04,533366
2001-10-05,533451
2001-10-06,532190
2001-10-07,532416
2001-10-08,532055
2001-10-09,530730
2001-10-10,529409
2001-10-11,528018
2001-10-12,526868
2001-10-13,526380
2001-10-14,526673
2001-10-15,525341
2001-10-16,524344
2001-10-17,523065
2001-10-18,522191
2001-10-19,520538
2001-10-20,520181
2001-10-21,520408
2001-10-22,519679
2001-10-23,517004
2001-10-24,514518
2001-10-25,511944
2001-10-26,509506
2001-10-27,509148
2001-10-28,509408
2001-10-29,508441
2001-10-30,506821
2001-10-31,505997
2001-11-01,504447
2001-11-02,503212
2001-11-03,502739
2001-11-04,503023
2001-11-05,502276
2001-11-06,500941
2001-11-07,499336
2001-11-08,497670
2001-11-09,495790
2001-11-10,495004
2001-11-11,495222
2001-11-12,494508
2001-11-13,494382
2001-11-14,493914
2001-11-15,493417
2001-11-16,493414
2001-11-17,493789
2001-11-18,494164
2001-11-19,493044
2001-11-20,491112
2001-11-21,489988
2001-11-22,494039
2001-11-23,496808
2001-11-24,498470
2001-11-25,503113
2001-11-26,503878
2001-11-27,503734
2001-11-28,503237
2001-11-29,504203
2001-11-30,505315
2001-12-01,506219
2001-12-02,514345
2001-12-03,519872
2001-12-04,522004
2001-12-05,524846
2001-12-06,527889
2001-12-07,529898
2001-12-08,531360
2001-12-09,533431
2001-12-10,535325
2001-12-11,536358
2001-12-12,536880
2001-12-13,537276
2001-12-14,538877
2001-12-15,539883
2001-12-16,541198
2001-12-17,543621
2001-12-18,546712
2001-12-19,549895
2001-12-20,552792
2001-12-21,554504
2001-12-22,556764
2001-12-23,560435
2001-12-24,563642
2001-12-25,565679
2001-12-26,566857
2001-12-27,568437
2001-12-28,569817
2001-12-29,574355
2001-12-30,578539
2001-12-31,589245
2002-01-01,597293
2002-01-02,605353
2002-01-03,618678
2002-01-04,625781
2002-01-05,630711
2002-01-06,639084
2002-01-07,644927
2002-01-08,651145
2002-01-09,657360
2002-01-10,660890
2002-01-11,662008
2002-01-12,664488
2002-01-13,666069
2002-01-14,667476
2002-01-15,667628
2002-01-16,665268
2002-01-17,664036
2002-01-18,661451
2002-01-19,660292
2002-01-20,659197
2002-01-21,658299
2002-01-22,658635
2002-01-23,658686
2002-01-24,658238
2002-01-25,658187
2002-01-26,659197
2002-01-27,660882
2002-01-28,661600
2002-01-29,661304
2002-01-30,660508
2002-01-31,659758
2002-02-01,658985
2002-02-02,658455
2002-02-03,657940
2002-02-04,656783
2002-02-05,654026
2002-02-06,652128
2002-02-07,651570
2002-02-08,652128
2002-02-09,652128
2002-02-10,652259
2002-02-11,651591
2002-02-12,650922
2002-02-13,650232
2002-02-14,649824
2002-02-15,649624
2002-02-16,650032
2002-02-17,651405
2002-02-18,652575
2002-02-19,653281
2002-02-20,658598
2002-02-21,666786
2002-02-22,674144
2002-02-23,680727
2002-02-24,685322
2002-02-25,687811
2002-02-26,691643
2002-02-27,694386
2002-02-28,698917
2002-03-01,703159
2002-03-02,707155
2002-03-03,710373
2002-03-04,711120
2002-03-05,710805
2002-03-06,715119
2002-03-07,717534
2002-03-08,719950
2002-03-09,722364
2002-03-10,725630
2002-03-11,726907
2002-03-12,727985
2002-03-13,729862
2002-03-14,731902
2002-03-15,732645
2002-03-16,734698
2002-03-17,737672
2002-03-18,738065
2002-03-19,737191
2002-03-20,736268
2002-03-21,735412
2002-03-22,734609
2002-03-23,736697
2002-03-24,741329
2002-03-25,743517
2002-03-26,744612
2002-03-27,745737
2002-03-28,747115
2002-03-29,748429
2002-03-30,751766
2002-03-31,755597
2002-04-01,758292
2002-04-02,760868
2002-04-03,763749
2002-04-04,766970
2002-04-05,770692
2002-04-06,774878
2002-04-07,778783
2002-04-08,780904
2002-04-09,783327
2002-04-10,786643
2002-04-11,790090
2002-04-12,792364
2002-04-13,795653
2002-04-14,799624
2002-04-15,804117
