"Date","Storage(acre-feet)"
2009-03-24,192520
2009-03-25,193330
2009-03-26,194340
2009-03-27,195300
2009-03-28,196410
2009-03-29,198910
2009-03-30,200960
2009-03-31,202460
2009-04-01,204320
2009-04-02,206300
2009-04-03,207980
2009-04-04,209870
2009-04-05,209130
2009-04-06,210130
2009-04-07,211510
2009-04-08,212570
2009-04-09,213790
2009-04-10,215020
2009-04-11,216140
2009-04-12,215450
2009-04-13,216520
2009-04-14,217650
2009-04-15,218560
2009-04-16,219260
2009-04-17,220460
2009-04-18,221490
2009-04-19,221000
2009-04-20,222090
2009-04-21,223290
2009-04-22,224210
2009-04-23,225480
2009-04-24,226410
2009-04-25,227510
2009-04-26,226850
2009-04-27,227840
2009-04-28,228670
2009-04-29,229610
2009-04-30,230340
2009-05-01,231450
2009-05-02,232450
2009-05-03,231950
2009-05-04,232900
2009-05-05,234580
2009-05-06,236320
2009-05-07,238080
2009-05-08,239950
2009-05-09,241830
2009-05-10,243680
2009-05-11,245950
2009-05-12,248220
2009-05-13,252060
2009-05-14,256000
2009-05-15,259730
2009-05-16,263250
2009-05-17,266740
2009-05-18,270080
2009-05-19,273980
2009-05-20,279080
2009-05-21,284360
2009-05-22,289690
2009-05-23,294360
2009-05-24,297990
2009-05-25,301260
2009-05-26,303890
2009-05-27,306150
2009-05-28,309200
2009-05-29,312780
2009-05-30,315790
2009-05-31,318090
2009-06-01,320140
2009-06-02,322060
2009-06-03,323710
2009-06-04,325310
2009-06-05,326970
2009-06-06,328510
2009-06-07,330180
2009-06-08,331730
2009-06-09,332260
2009-06-10,332940
2009-06-11,333610
2009-06-12,334280
2009-06-13,334820
2009-06-14,333880
2009-06-15,333680
2009-06-16,333880
2009-06-17,334150
2009-06-18,334350
2009-06-19,334420
2009-06-20,334490
2009-06-21,333410
2009-06-22,332330
2009-06-23,332530
2009-06-24,332730
2009-06-25,332940
2009-06-26,331860
2009-06-27,330990
2009-06-28,329980
2009-06-29,330120
2009-06-30,330250
2009-07-01,330650
2009-07-02,330990
2009-07-03,330250
2009-07-04,329380
2009-07-05,328510
2009-07-06,328910
2009-07-07,329180
2009-07-08,329520
2009-07-09,329920
2009-07-10,329180
2009-07-11,328380
2009-07-12,327580
2009-07-13,328110
2009-07-14,328380
2009-07-15,328850
2009-07-16,329250
2009-07-17,329720
2009-07-18,328910
2009-07-19,328110
2009-07-20,328450
2009-07-21,328850
2009-07-22,329180
2009-07-23,329580
2009-07-24,329980
2009-07-25,329180
2009-07-26,328450
2009-07-27,328780
2009-07-28,328850
2009-07-29,328780
2009-07-30,329250
2009-07-31,329580
2009-08-01,329040
2009-08-02,328040
2009-08-03,328450
2009-08-04,328980
2009-08-05,329110
2009-08-06,329310
2009-08-07,329850
2009-08-08,329110
2009-08-09,328450
2009-08-10,328980
2009-08-11,329450
2009-08-12,329920
2009-08-13,330450
2009-08-14,330790
2009-08-15,330050
2009-08-16,329310
2009-08-17,329650
2009-08-18,330180
2009-08-19,330590
2009-08-20,330392
2009-08-21,331460
2009-08-22,330650
2009-08-23,329850
2009-08-24,329980
2009-08-25,330180
2009-08-26,330520
2009-08-27,330720
2009-08-28,330920
2009-08-29,330180
2009-08-30,329380
2009-08-31,329580
2009-09-01,329520
2009-09-02,329650
2009-09-03,329780
2009-09-04,329850
2009-09-05,328980
2009-09-06,328040
2009-09-07,327110
2009-09-08,327310
2009-09-09,327380
2009-09-10,327640
2009-09-11,327780
2009-09-12,326840
2009-09-13,325980
2009-09-14,325980
2009-09-15,325980
2009-09-16,325980
2009-09-17,326040
2009-09-18,326110
2009-09-19,325240
2009-09-20,324510
2009-09-21,324380
2009-09-22,324380
2009-09-23,324180
2009-09-24,324110
2009-09-25,324050
2009-09-26,323380
2009-09-27,322650
2009-09-28,322520
2009-09-29,322520
2009-09-30,322320
2009-10-01,322260
2009-10-02,322320
2009-10-03,321530
2009-10-04,320600
2009-10-05,319810
2009-10-06,318290
2009-10-07,315920
2009-10-08,312910
2009-10-09,309850
2009-10-10,307060
2009-10-11,305120
2009-10-12,304150
2009-10-13,304410
2009-10-14,303510
2009-10-15,301770
2009-10-16,299720
2009-10-17,297360
2009-10-18,294940
2009-10-19,293160
2009-10-20,292270
2009-10-21,291830
2009-10-22,291390
2009-10-23,290950
2009-10-24,290320
2009-10-25,289750
2009-10-26,289880
2009-10-27,289690
2009-10-28,289750
2009-10-29,289940
2009-10-30,290000
2009-10-31,289310
2009-11-01,288680
2009-11-02,289180
2009-11-03,289690
2009-11-04,290190
2009-11-05,290749
2009-11-06,290950
2009-11-07,289690
2009-11-08,289280
2009-11-09,288870
2009-11-10,289000
2009-11-11,289060
2009-11-12,289250
2009-11-13,289370
2009-11-14,288620
2009-11-15,287990
2009-11-16,287300
2009-11-17,286610
2009-11-18,285980
2009-11-19,285300
2009-11-20,284670
2009-11-21,283990
2009-11-22,283360
2009-11-23,283360
2009-11-24,283240
2009-11-25,283300
2009-11-26,282620
2009-11-27,282620
2009-11-28,281930
2009-11-29,281310
2009-11-30,281380
2009-12-01,281500
2009-12-02,281500
2009-12-03,281560
2009-12-04,281690
2009-12-05,281130
2009-12-06,280510
2009-12-07,280630
2009-12-08,280440
2009-12-09,280380
2009-12-10,280320
2009-12-11,280510
2009-12-12,280140
2009-12-13,279890
2009-12-14,279890
2009-12-15,279210
2009-12-16,279150
2009-12-17,279210
2009-12-18,279020
2009-12-19,278340
2009-12-20,277850
2009-12-21,278280
2009-12-22,278400
2009-12-23,278770
2009-12-24,279020
2009-12-25,278340
2009-12-26,277850
2009-12-27,277300
2009-12-28,277480
2009-12-29,278160
2009-12-30,278220
2009-12-31,278470
2010-01-01,277850
2010-01-02,277360
2010-01-03,276740
2010-01-04,277050
2010-01-05,277300
2010-01-06,277730
2010-01-07,278040
2010-01-08,278340
2010-01-09,277540
2010-01-10,276930
2010-01-11,277360
2010-01-12,278220
2010-01-13,278900
2010-01-14,279347
2010-01-15,279808
2010-01-16,280140
2010-01-17,279760
2010-01-18,280570
2010-01-19,281380
2010-01-20,282240
2010-01-21,283300
2010-01-22,284170
2010-01-23,284490
2010-01-24,283800
2010-01-25,284490
2010-01-26,285050
2010-01-27,285550
2010-01-28,286050
2010-01-29,286550
2010-01-30,286990
2010-01-31,286420
2010-02-01,286800
2010-02-02,287550
2010-02-03,288560
2010-02-04,290000
2010-02-05,290950
2010-02-06,292270
2010-02-07,291710
2010-02-08,292650
2010-02-09,293790
2010-02-10,294940
2010-02-11,295890
2010-02-12,296910
2010-02-13,297930
2010-02-14,297290
2010-02-15,298380
2010-02-16,299330
2010-02-17,300420
2010-02-18,301450
2010-02-19,301960
2010-02-20,302990
2010-02-21,302480
2010-02-22,302800
2010-02-23,303440
2010-02-24,303640
2010-02-25,304020
2010-02-26,304670
2010-02-27,304540
2010-02-28,303960
2010-03-01,303890
2010-03-02,303890
2010-03-03,305120
2010-03-04,305700
2010-03-05,306220
2010-03-06,306670
2010-03-07,306090
2010-03-08,306990
2010-03-09,308100
2010-03-10,309070
2010-03-11,310110
2010-03-12,311340
2010-03-13,312390
2010-03-14,311740
2010-03-15,312720
2010-03-16,313760
2010-03-17,314870
2010-03-18,315920
2010-03-19,316970
2010-03-20,317900
2010-03-21,317170
2010-03-22,318160
2010-03-23,319280
2010-03-24,320200
2010-03-25,321200
2010-03-26,322190
2010-03-27,323250
2010-03-28,322590
2010-03-29,323650
2010-03-30,324780
2010-03-31,325780
2010-04-01,326570
2010-04-02,327380
2010-04-03,328180
2010-04-04,327840
2010-04-05,328650
2010-04-06,329380
2010-04-07,330180
2010-04-08,330990
2010-04-09,330180
2010-04-10,329380
2010-04-11,328850
2010-04-12,329650
2010-04-13,330320
2010-04-14,331060
2010-04-15,331860
2010-04-16,332600
2010-04-17,333750
2010-04-18,335430
2010-04-19,337050
2010-04-20,338340
2010-04-21,339360
2010-04-22,341120
2010-04-23,342760
2010-04-24,344400
2010-04-25,346310
2010-04-26,347960
2010-04-27,349680
2010-04-28,350570
2010-04-29,350500
2010-04-30,350230
2010-05-01,350090
2010-05-02,349950
2010-05-03,349880
2010-05-04,349880
2010-05-05,349540
2010-05-06,349060
2010-05-07,348920
2010-05-08,348780
2010-05-09,348720
2010-05-10,348850
2010-05-11,348780
2010-05-12,348580
2010-05-13,348510
2010-05-14,348300
2010-05-15,347960
2010-05-16,345010
2010-05-17,344120
2010-05-18,343920
2010-05-19,343780
2010-05-20,343990
2010-05-21,344260
2010-05-22,344600
2010-05-23,344940
2010-05-24,345490
2010-05-25,346520
2010-05-26,347550
2010-05-27,348440
2010-05-28,349400
2010-05-29,350430
2010-05-30,351400
2010-05-31,352370
2010-06-01,352850
2010-06-02,352850
2010-06-03,352500
2010-06-04,352430
2010-06-05,352160
2010-06-06,352430
2010-06-07,354230
2010-06-08,357010
2010-06-09,359860
2010-06-10,362240
2010-06-11,364340
2010-06-12,366310
2010-06-13,367860
2010-06-14,369900
2010-06-15,372240
2010-06-16,374160
2010-06-17,375860
2010-06-18,377290
2010-06-19,378510
2010-06-20,379510
2010-06-21,380940
2010-06-22,382450
2010-06-23,383820
2010-06-24,385040
2010-06-25,386480
2010-06-26,387640
2010-06-27,388870
2010-06-28,389960
2010-06-29,391120
2010-06-30,392500
2010-07-01,393160
2010-07-02,392650
2010-07-03,392430
2010-07-04,392070
2010-07-05,391630
2010-07-06,391120
2010-07-07,390680
2010-07-08,389310
2010-07-09,388070
2010-07-10,386340
2010-07-11,384540
2010-07-12,383820
2010-07-13,383020
2010-07-14,382380
2010-07-15,381300
2010-07-16,380220
2010-07-17,379080
2010-07-18,377360
2010-07-19,376080
2010-07-20,374720
2010-07-21,373520
2010-07-22,372380
2010-07-23,371110
2010-07-24,370040
2010-07-25,368070
2010-07-26,366800
2010-07-27,365600
2010-07-28,364480
2010-07-29,363640
2010-07-30,362870
2010-07-31,362030
2010-08-01,360770
2010-08-02,359720
2010-08-03,358750
2010-08-04,357700
2010-08-05,357010
2010-08-06,356450
2010-08-07,355550
2010-08-08,354510
2010-08-09,353610
2010-08-10,352640
2010-08-11,351680
2010-08-12,350850
2010-08-13,349950
2010-08-14,348990
2010-08-15,348030
2010-08-16,347200
2010-08-17,346180
2010-08-18,345290
2010-08-19,344460
2010-08-20,343510
2010-08-21,342690
2010-08-22,341740
2010-08-23,341190
2010-08-24,341120
2010-08-25,341530
2010-08-26,341330
2010-08-27,341120
2010-08-28,340650
2010-08-29,339700
2010-08-30,339360
2010-08-31,339490
2010-09-01,339830
2010-09-02,339420
2010-09-03,339090
2010-09-04,338810
2010-09-05,337930
2010-09-06,337050
2010-09-07,336380
2010-09-08,335630
2010-09-09,335030
2010-09-10,334420
2010-09-11,333950
2010-09-12,332800
2010-09-13,332200
2010-09-14,331660
2010-09-15,331060
2010-09-16,330590
2010-09-17,330050
2010-09-18,329050
2010-09-19,328110
2010-09-20,327310
2010-09-21,326510
2010-09-22,325640
2010-09-23,324780
2010-09-24,323910
2010-09-25,323050
2010-09-26,322190
2010-09-27,321330
2010-09-28,320530
2010-09-29,319280
2010-09-30,317630
2010-10-01,316970
2010-10-02,316510
2010-10-03,315270
2010-10-04,314940
2010-10-05,314090
2010-10-06,312450
2010-10-07,310950
2010-10-08,310170
2010-10-09,309850
2010-10-10,308680
2010-10-11,308220
2010-10-12,307320
2010-10-13,305570
2010-10-14,303120
2010-10-15,299780
2010-10-16,296150
2010-10-17,291810
2010-10-18,288560
2010-10-19,286240
2010-10-20,284490
2010-10-21,283638
2010-10-22,283240
2010-10-23,283120
2010-10-24,282800
2010-10-25,281870
2010-10-26,280690
2010-10-27,279700
2010-10-28,279390
2010-10-29,279760
2010-10-30,280440
2010-10-31,280880
2010-11-01,281560
2010-11-02,282120
2010-11-03,282740
2010-11-04,283360
2010-11-05,283990
2010-11-06,284420
2010-11-07,284110
2010-11-08,283990
2010-11-09,283990
2010-11-10,283680
2010-11-11,282990
2010-11-12,282120
2010-11-13,281130
2010-11-14,279330
2010-11-15,278220
2010-11-16,277480
2010-11-17,276800
2010-11-18,276060
2010-11-19,275270
2010-11-20,274530
2010-11-21,273180
2010-11-22,272450
2010-11-23,272210
2010-11-24,271720
2010-11-25,270080
2010-11-26,269100
2010-11-27,268130
2010-11-28,266500
2010-11-29,267170
2010-11-30,266860
2010-12-01,266560
2010-12-02,266500
2010-12-03,265960
2010-12-04,265900
2010-12-05,265240
2010-12-06,264090
2010-12-07,263130
2010-12-08,262480
2010-12-09,261880
2010-12-10,261580
2010-12-11,261110
2010-12-12,260500
2010-12-13,259970
2010-12-14,259310
2010-12-15,257710
2010-12-16,255760
2010-12-17,254820
2010-12-18,253580
2010-12-19,251880
2010-12-20,252530
2010-12-21,252590
2010-12-22,252120
2010-12-23,251420
2010-12-24,251010
2010-12-25,251180
2010-12-26,250780
2010-12-27,250020
2010-12-28,248850
2010-12-29,247750
2010-12-30,246830
2010-12-31,245900
2011-01-01,244980
2011-01-02,244350
2011-01-03,243490
2011-01-04,242000
2011-01-05,239830
2011-01-06,237510
2011-01-07,235870
2011-01-08,234640
2011-01-09,233290
2011-01-10,233010
2011-01-11,230780
2011-01-12,230060
2011-01-13,229780
2011-01-14,229840
2011-01-15,230170
2011-01-16,230500
2011-01-17,231060
2011-01-18,231560
2011-01-19,232290
2011-01-20,232960
2011-01-21,233910
2011-01-22,234860
2011-01-23,235820
2011-01-24,236890
2011-01-25,237850
2011-01-26,239040
2011-01-27,240290
2011-01-28,241660
2011-01-29,243090
2011-01-30,244920
2011-01-31,246360
2011-02-01,247690
2011-02-02,249140
2011-02-03,250540
2011-02-04,251830
2011-02-05,253290
2011-02-06,254700
2011-02-07,256060
2011-02-08,257410
2011-02-09,258780
2011-02-10,260150
2011-02-11,261580
2011-02-12,262890
2011-02-13,264270
2011-02-14,265720
2011-02-15,267230
2011-02-16,268800
2011-02-17,270740
2011-02-18,272940
2011-02-19,274960
2011-02-20,276370
2011-02-21,277790
2011-02-22,279210
2011-02-23,280630
2011-02-24,282310
2011-02-25,284670
2011-02-26,286110
2011-02-27,287490
2011-02-28,288930
2011-03-01,290320
2011-03-02,291830
2011-03-03,293160
2011-03-04,294360
2011-03-05,295380
2011-03-06,296650
2011-03-07,297610
2011-03-08,298310
2011-03-09,299270
2011-03-10,300870
2011-03-11,302610
2011-03-12,304340
2011-03-13,305960
2011-03-14,307580
2011-03-15,309720
2011-03-16,317500
2011-03-17,323780
2011-03-18,325910
2011-03-19,326570
2011-03-20,329250
2011-03-21,331730
2011-03-22,332130
2011-03-23,331930
2011-03-24,333410
2011-03-25,333210
2011-03-26,333140
2011-03-27,333070
2011-03-28,332200
2011-03-29,330920
2011-03-30,328710
2011-03-31,326970
2011-04-01,326440
2011-04-02,326570
2011-04-03,326640
2011-04-04,326640
2011-04-05,326240
2011-04-06,325980
2011-04-07,325380
2011-04-08,324310
2011-04-09,322920
2011-04-10,321060
2011-04-11,319080
2011-04-12,317040
2011-04-13,315070
2011-04-14,312320
2011-04-15,308870
2011-04-16,306410
2011-04-17,304540
2011-04-18,303310
2011-04-19,302540
2011-04-20,302160
2011-04-21,301640
2011-04-22,301000
2011-04-23,300170
2011-04-24,299080
2011-04-25,297990
2011-04-26,296970
2011-04-27,295950
2011-04-28,294870
2011-04-29,293860
2011-04-30,292720
2011-05-01,294133
2011-05-02,290320
2011-05-03,290260
2011-05-04,290950
2011-05-05,292020
2011-05-06,293410
2011-05-07,295060
2011-05-08,296720
2011-05-09,297800
2011-05-10,298120
2011-05-11,298500
2011-05-12,299080
2011-05-13,300230
2011-05-14,301830
2011-05-15,303700
2011-05-16,304670
2011-05-17,305630
2011-05-18,306280
2011-05-19,306800
2011-05-20,306730
2011-05-21,306220
2011-05-22,306220
2011-05-23,306150
2011-05-24,306350
2011-05-25,306800
2011-05-26,306930
2011-05-27,306930
2011-05-28,306930
2011-05-29,306930
2011-05-30,306860
2011-05-31,306670
2011-06-01,306540
2011-06-02,306220
2011-06-03,305760
2011-06-04,305500
2011-06-05,305380
2011-06-06,306020
2011-06-07,306670
2011-06-08,307250
2011-06-09,308160
2011-06-10,309390
2011-06-11,311080
2011-06-12,312520
2011-06-13,314420
2011-06-14,318420
2011-06-15,323850
2011-06-16,329180
2011-06-17,334350
2011-06-18,339360
2011-06-19,345010
2011-06-20,351120
2011-06-21,357220
2011-06-22,363500
2011-06-23,370260
2011-06-24,378150
2011-06-25,384540
2011-06-26,388150
2011-06-27,390540
2011-06-28,395710
2011-06-29,404540
2011-06-30,409730
2011-07-01,405200
2011-07-02,402540
2011-07-03,401440
2011-07-04,400500
2011-07-05,398570
2011-07-06,398130
2011-07-07,398500
2011-07-08,399380
2011-07-09,400550
2011-07-10,401360
2011-07-11,401730
2011-07-12,402030
2011-07-13,402170
2011-07-14,402620
2011-07-15,402910
2011-07-16,403060
2011-07-17,403060
2011-07-18,402910
2011-07-19,402910
2011-07-20,402910
2011-07-21,402690
2011-07-22,402470
2011-07-23,402250
2011-07-24,401950
2011-07-25,401810
2011-07-26,401660
2011-07-27,401220
2011-07-28,399740
2011-07-29,398200
2011-07-30,396740
2011-07-31,394470
2011-08-01,393380
2011-08-02,392280
2011-08-03,390830
2011-08-04,388730
2011-08-05,386700
2011-08-06,384680
2011-08-07,382020
2011-08-08,379220
2011-08-09,376510
2011-08-10,373590
2011-08-11,370820
2011-08-12,368210
2011-08-13,365740
2011-08-14,363430
2011-08-15,361820
2011-08-16,360420
2011-08-17,359020
2011-08-18,359770
2011-08-19,356310
2011-08-20,354860
2011-08-21,352920
2011-08-22,352230
2011-08-23,351680
2011-08-24,350850
2011-08-25,350430
2011-08-26,349750
2011-08-27,347890
2011-08-28,346040
2011-08-29,344120
2011-08-30,342210
2011-08-31,340240
2011-09-01,338410
2011-09-02,336510
2011-09-03,334760
2011-09-04,333270
2011-09-05,331860
2011-09-06,330650
2011-09-07,329650
2011-09-08,328450
2011-09-09,327440
2011-09-10,326310
2011-09-11,325240
2011-09-12,324310
2011-09-13,323510
2011-09-14,322650
2011-09-15,321860
2011-09-16,320860
2011-09-17,319870
2011-09-18,318360
2011-09-19,317500
2011-09-20,316970
2011-09-21,316320
2011-09-22,315730
2011-09-23,313830
2011-09-24,311740
2011-09-25,309590
2011-09-26,308740
2011-09-27,308220
2011-09-28,307640
2011-09-29,306990
2011-09-30,307840
2011-10-01,307190
2011-10-02,305120
2011-10-03,304150
2011-10-04,303760
2011-10-05,302990
2011-10-06,301320
2011-10-07,299210
2011-10-08,297040
2011-10-09,293540
2011-10-10,292400
2011-10-11,292020
2011-10-12,292340
2011-10-13,292720
2011-10-14,292780
2011-10-15,291900
2011-10-16,288740
2011-10-17,287800
2011-10-18,287860
2011-10-19,288240
2011-10-20,288740
2011-10-21,288810
2011-10-22,288050
2011-10-23,284920
2011-10-24,283240
2011-10-25,282560
2011-10-26,282120
2011-10-27,281870
2011-10-28,281060
2011-10-29,279760
2011-10-30,276500
2011-10-31,273430
2011-11-01,270440
2011-11-02,268440
2011-11-03,266990
2011-11-04,265540
2011-11-05,264700
2011-11-06,263370
2011-11-07,262650
2011-11-08,261940
2011-11-09,261460
2011-11-10,260920
2011-11-11,260030
2011-11-12,258960
2011-11-13,257470
2011-11-14,256470
2011-11-15,255350
2011-11-16,254700
2011-11-17,254290
2011-11-18,253880
2011-11-19,253640
2011-11-20,253000
2011-11-21,253410
2011-11-22,253880
2011-11-23,254410
2011-11-24,253640
2011-11-25,252820
2011-11-26,252060
2011-11-27,251360
2011-11-28,251070
2011-11-29,250830
2011-11-30,250600
2011-12-01,250890
2011-12-02,251590
2011-12-03,252120
2011-12-04,251480
2011-12-05,252000
2011-12-06,252640
2011-12-07,253290
2011-12-08,252760
2011-12-09,253470
2011-12-10,254050
2011-12-11,253520
2011-12-12,253350
2011-12-13,253290
2011-12-14,253170
2011-12-15,253170
2011-12-16,253060
2011-12-17,253000
2011-12-18,252470
2011-12-19,252290
2011-12-20,252180
2011-12-21,252060
2011-12-22,252120
2011-12-23,251940
2011-12-24,251830
2011-12-25,251240
2011-12-26,251770
2011-12-27,252350
2011-12-28,252880
2011-12-29,253640
2011-12-30,254350
2011-12-31,255110
2012-01-01,254460
2012-01-02,254820
2012-01-03,255520
2012-01-04,256170
2012-01-05,256880
2012-01-06,257590
2012-01-07,258190
2012-01-08,257530
2012-01-09,256940
2012-01-10,256290
2012-01-11,255700
2012-01-12,254900
2012-01-13,254410
2012-01-14,253820
2012-01-15,253230
