"Date","Storage(acre-feet)"
2009-03-24,53050
2009-03-25,53189
2009-03-26,53358
2009-03-27,53573
2009-03-28,53697
2009-03-29,53851
2009-03-30,53758
2009-03-31,53650
2009-04-01,53697
2009-04-02,53697
2009-04-03,53558
2009-04-04,53342
2009-04-05,53127
2009-04-06,53004
2009-04-07,52943
2009-04-08,52989
2009-04-09,53081
2009-04-10,53189
2009-04-11,53235
2009-04-12,53266
2009-04-13,53281
2009-04-14,53127
2009-04-15,52989
2009-04-16,52805
2009-04-17,52744
2009-04-18,52744
2009-04-19,52744
2009-04-20,52759
2009-04-21,52774
2009-04-22,52759
2009-04-23,52744
2009-04-24,52698
2009-04-25,52636
2009-04-26,52575
2009-04-27,52514
2009-04-28,52422
2009-04-29,52284
2009-04-30,52208
2009-05-01,52239
2009-05-02,52437
2009-05-03,52652
2009-05-04,52989
2009-05-05,53805
2009-05-06,54144
2009-05-07,54360
2009-05-08,54577
2009-05-09,54763
2009-05-10,54887
2009-05-11,55058
2009-05-12,55198
2009-05-13,55291
2009-05-14,55431
2009-05-15,55540
2009-05-16,55727
2009-05-17,55883
2009-05-18,56039
2009-05-19,56132
2009-05-20,56273
2009-05-21,56398
2009-05-22,56476
2009-05-23,56555
2009-05-24,56664
2009-05-25,56743
2009-05-26,56821
2009-05-27,56868
2009-05-28,56915
2009-05-29,56915
2009-05-30,56915
2009-05-31,56931
2009-06-01,56962
2009-06-02,56978
2009-06-03,57041
2009-06-04,57072
2009-06-05,57135
2009-06-06,57166
2009-06-07,57182
2009-06-08,57182
2009-06-09,57182
2009-06-10,57182
2009-06-11,57182
2009-06-12,57182
2009-06-13,57182
2009-06-14,57198
2009-06-15,57213
2009-06-16,57229
2009-06-17,57229
2009-06-18,57182
2009-06-19,57166
2009-06-20,57088
2009-06-21,57072
2009-06-22,57088
2009-06-23,57103
2009-06-24,57088
2009-06-25,57025
2009-06-26,56946
2009-06-27,56852
2009-06-28,56774
2009-06-29,56743
2009-06-30,56696
2009-07-01,56617
2009-07-02,56539
2009-07-03,56445
2009-07-04,56383
2009-07-05,56336
2009-07-06,56257
2009-07-07,56164
2009-07-08,56117
2009-07-09,56070
2009-07-10,56008
2009-07-11,55914
2009-07-12,55851
2009-07-13,55805
2009-07-14,55758
2009-07-15,55696
2009-07-16,55664
2009-07-17,55618
2009-07-18,55571
2009-07-19,55509
2009-07-20,55493
2009-07-21,55447
2009-07-22,55384
2009-07-23,55322
2009-07-24,55198
2009-07-25,55042
2009-07-26,54949
2009-07-27,54872
2009-07-28,54841
2009-07-29,54794
2009-07-30,54701
2009-07-31,54593
2009-08-01,54484
2009-08-02,54360
2009-08-03,54221
2009-08-04,54113
2009-08-05,54020
2009-08-06,53943
2009-08-07,53897
2009-08-08,53820
2009-08-09,53758
2009-08-10,53712
2009-08-11,53650
2009-08-12,53604
2009-08-13,53573
2009-08-14,53496
2009-08-15,53435
2009-08-16,53373
2009-08-17,53327
2009-08-18,53250
2009-08-19,53189
2009-08-20,53143
2009-08-21,53081
2009-08-22,53020
