"Date","Storage(acre-feet)"
2009-03-24,45439
2009-03-25,45581
2009-03-26,45723
2009-03-27,45895
2009-03-28,46211
2009-03-29,46498
2009-03-30,46672
2009-03-31,46903
2009-04-01,47164
2009-04-02,47456
2009-04-03,47662
2009-04-04,47749
2009-04-05,47836
2009-04-06,48013
2009-04-07,48189
2009-04-08,48367
2009-04-09,48485
2009-04-10,48603
2009-04-11,48692
2009-04-12,48841
2009-04-13,48960
2009-04-14,49108
2009-04-15,49139
2009-04-16,49168
2009-04-17,49198
2009-04-18,49258
2009-04-19,49318
2009-04-20,49377
2009-04-21,49467
2009-04-22,49377
2009-04-23,49497
2009-04-24,49616
2009-04-25,49676
2009-04-26,49676
2009-04-27,49676
2009-04-28,49736
2009-04-29,49736
2009-04-30,49736
2009-05-01,49915
2009-05-02,50245
2009-05-03,50578
2009-05-04,50940
2009-05-05,51367
2009-05-06,51489
2009-05-07,51612
2009-05-08,51641
2009-05-09,51703
2009-05-10,51703
2009-05-11,51673
2009-05-12,51673
2009-05-13,51673
2009-05-14,51641
2009-05-15,51612
2009-05-16,51612
2009-05-17,51550
2009-05-18,51459
2009-05-19,51398
2009-05-20,51367
2009-05-21,51337
2009-05-22,51276
2009-05-23,51184
2009-05-24,51154
2009-05-25,51123
2009-05-26,51062
2009-05-27,50940
2009-05-28,50972
2009-05-29,50911
2009-05-30,50880
2009-05-31,50850
2009-06-01,50760
2009-06-02,50819
2009-06-03,51032
2009-06-04,51062
2009-06-05,51093
2009-06-06,51093
2009-06-07,51032
2009-06-08,50972
2009-06-09,50940
2009-06-10,50880
2009-06-11,50819
2009-06-12,50760
2009-06-13,50729
2009-06-14,50699
2009-06-15,50639
2009-06-16,50578
2009-06-17,50487
2009-06-18,50397
2009-06-19,50366
2009-06-20,50337
2009-06-21,50276
2009-06-22,50125
2009-06-23,50065
2009-06-24,49975
2009-06-25,49915
2009-06-26,49855
2009-06-27,49706
2009-06-28,49587
2009-06-29,49497
2009-06-30,49377
2009-07-01,49348
2009-07-02,49258
2009-07-03,49139
2009-07-04,49108
2009-07-05,49019
2009-07-06,48900
2009-07-07,48870
2009-07-08,48722
2009-07-09,48663
2009-07-10,48603
2009-07-11,48485
2009-07-12,48397
2009-07-13,48338
2009-07-14,48220
2009-07-15,48130
2009-07-16,48072
2009-07-17,47954
2009-07-18,47895
2009-07-19,47779
2009-07-20,47720
2009-07-21,47632
2009-07-22,47603
2009-07-23,47486
2009-07-24,47369
2009-07-25,47339
2009-07-26,47164
2009-07-27,47136
2009-07-28,47049
2009-07-29,47078
2009-07-30,46903
2009-07-31,46845
2009-08-01,46759
2009-08-02,46759
2009-08-03,46643
2009-08-04,46498
2009-08-05,46440
2009-08-06,46354
2009-08-07,46297
2009-08-08,46211
2009-08-09,46154
2009-08-10,46096
2009-08-11,45981
2009-08-12,45867
2009-08-13,45780
2009-08-14,45695
2009-08-15,45638
2009-08-16,45581
2009-08-17,45467
2009-08-18,45382
2009-08-19,45296
2009-08-20,45182
2009-08-21,45098
2009-08-22,45069
2009-08-23,44955
2009-08-24,44900
2009-08-25,44843
2009-08-26,44730
2009-08-27,44645
2009-08-28,44561
2009-08-29,44505
2009-08-30,44392
2009-08-31,44280
2009-09-01,44224
2009-09-02,44112
2009-09-03,44056
2009-09-04,44000
2009-09-05,43917
2009-09-06,43833
2009-09-07,43805
2009-09-08,43721
2009-09-09,43638
2009-09-10,43583
2009-09-11,43500
2009-09-12,43472
2009-09-13,43444
2009-09-14,43361
2009-09-15,43250
2009-09-16,43168
2009-09-17,43139
2009-09-18,43057
2009-09-19,43002
2009-09-20,42947
2009-09-21,42892
2009-09-22,42837
2009-09-23,42727
2009-09-24,42699
2009-09-25,42671
2009-09-26,42644
2009-09-27,42562
2009-09-28,42452
2009-09-29,42480
2009-09-30,42371
2009-10-01,42289
2009-10-02,42207
2009-10-03,42207
2009-10-04,42179
2009-10-05,42072
2009-10-06,42017
2009-10-07,41963
2009-10-08,41909
2009-10-09,41881
2009-10-10,41827
2009-10-11,41800
2009-10-12,41746
2009-10-13,41725
2009-10-14,41700
2009-10-15,41680
2009-10-16,41655
2009-10-17,41635
2009-10-18,41610
2009-10-19,41590
2009-10-20,41566
2009-10-21,41544
2009-10-22,41525
2009-10-23,41500
2009-10-24,41475
2009-10-25,41455
2009-10-26,41430
2009-10-27,41410
2009-10-28,41385
2009-10-29,41365
2009-10-30,41340
2009-10-31,41340
2009-11-01,41342
2009-11-02,41314
2009-11-03,41288
2009-11-04,41180
2009-11-05,41073
2009-11-06,41126
2009-11-07,41153
2009-11-08,41153
2009-11-09,41073
2009-11-10,41045
2009-11-11,41019
2009-11-12,41019
2009-11-13,41019
2009-11-14,40965
2009-11-15,40965
2009-11-16,40885
2009-11-17,40831
2009-11-18,40805
2009-11-19,40805
2009-11-20,40805
2009-11-21,40912
2009-11-22,40912
2009-11-23,40858
2009-11-24,40831
2009-11-25,40805
2009-11-26,40805
2009-11-27,40780
2009-11-28,40751
2009-11-29,40725
2009-11-30,40698
2009-12-01,40698
2009-12-02,40670
2009-12-03,40645
2009-12-04,40592
2009-12-05,40645
2009-12-06,40672
2009-12-07,40700
2009-12-08,40725
2009-12-09,40750
2009-12-10,40780
2009-12-11,40805
2009-12-12,40830
2009-12-13,40860
2009-12-14,40885
2009-12-15,40910
2009-12-16,40940
2009-12-17,40965
2009-12-18,40995
2009-12-19,41020
2009-12-20,41045
2009-12-21,41075
2009-12-22,41100
2009-12-23,41125
2009-12-24,41155
2009-12-25,41180
2009-12-26,41210
2009-12-27,41235
2009-12-28,41260
2009-12-29,41288
2009-12-30,41288
2009-12-31,41260
2010-01-01,41206
2010-01-02,41206
2010-01-03,41180
2010-01-04,41153
2010-01-05,41126
2010-01-06,41126
2010-01-07,41099
2010-01-08,41073
2010-01-09,41073
2010-01-10,41073
2010-01-11,41045
2010-01-12,41342
2010-01-13,41530
2010-01-14,41556
2010-01-15,41556
2010-01-16,41502
2010-01-17,41584
2010-01-18,42017
2010-01-19,42072
2010-01-20,42371
2010-01-21,42426
2010-01-22,42426
2010-01-23,42398
2010-01-24,42398
2010-01-25,42481
2010-01-26,42453
2010-01-27,42481
2010-01-28,42426
2010-01-29,42398
2010-01-30,42398
2010-01-31,42398
2010-02-01,42371
2010-02-02,42371
2010-02-03,42426
2010-02-04,42507
2010-02-05,42481
2010-02-06,42481
2010-02-07,42481
2010-02-08,42453
2010-02-09,42453
2010-02-10,42453
2010-02-11,42426
2010-02-12,42398
2010-02-13,42398
2010-02-14,42398
2010-02-15,42371
2010-02-16,42343
