"Date","Storage(acre-feet)"
2009-03-24,63233
2009-03-25,62932
2009-03-26,63142
2009-03-27,62977
2009-03-28,62572
2009-03-29,62117
2009-03-30,61760
2009-03-31,61812
2009-04-01,61280
2009-04-02,61075
2009-04-03,61709
2009-04-04,62221
2009-04-05,63067
2009-04-06,62811
2009-04-07,61968
2009-04-08,62385
2009-04-09,63429
2009-04-10,63709
2009-04-11,62819
2009-04-12,62549
2009-04-13,62206
2009-04-14,62295
2009-04-15,62318
2009-04-16,62102
2009-04-17,62221
2009-04-18,62527
2009-04-19,62482
2009-04-20,62916
2009-04-21,63346
2009-04-22,63512
2009-04-23,63300
2009-04-24,63376
2009-04-25,63641
2009-04-26,63868
2009-04-27,63975
2009-04-28,63944
2009-04-29,62766
2009-04-30,61746
2009-05-01,61953
2009-05-02,64931
2009-05-03,68258
2009-05-04,69353
2009-05-05,72049
2009-05-06,70691
2009-05-07,70240
2009-05-08,70371
2009-05-09,70183
2009-05-10,69791
2009-05-11,68651
2009-05-12,67454
2009-05-13,66211
2009-05-14,66187
2009-05-15,65294
2009-05-16,64440
2009-05-17,63089
2009-05-18,61990
2009-05-19,62594
2009-05-20,64417
2009-05-21,66086
2009-05-22,66516
2009-05-23,66783
2009-05-24,64954
2009-05-25,64808
2009-05-26,64870
2009-05-27,65055
2009-05-28,65032
2009-05-29,64242
2009-05-30,64196
2009-05-31,64693
2009-06-01,64793
2009-06-02,65109
2009-06-03,64978
2009-06-04,64318
2009-06-05,64349
2009-06-06,64379
2009-06-07,64532
2009-06-08,64287
2009-06-09,64632
2009-06-10,64808
2009-06-11,64456
2009-06-12,64862
2009-06-13,65363
2009-06-14,65627
2009-06-15,65302
2009-06-16,64878
2009-06-17,64081
2009-06-18,63876
2009-06-19,63838
2009-06-20,63618
2009-06-21,63497
2009-06-22,64211
2009-06-23,64801
2009-06-24,65294
2009-06-25,65247
2009-06-26,65604
2009-06-27,65309
2009-06-28,65774
2009-06-29,65852
2009-06-30,65736
2009-07-01,65302
2009-07-02,65309
2009-07-03,65093
2009-07-04,63937
2009-07-05,63656
2009-07-06,63361
2009-07-07,63059
2009-07-08,63482
2009-07-09,64013
2009-07-10,64547
2009-07-11,64502
2009-07-12,64639
2009-07-13,64601
2009-07-14,64494
2009-07-15,64142
2009-07-16,64097
2009-07-17,64349
2009-07-18,64303
2009-07-19,64257
2009-07-20,64081
2009-07-21,63990
2009-07-22,63686
2009-07-23,63580
2009-07-24,63421
2009-07-25,63225
2009-07-26,63014
2009-07-27,63135
2009-07-28,63891
2009-07-29,64333
2009-07-30,64402
2009-07-31,64509
2009-08-01,64249
2009-08-02,63785
2009-08-03,63641
2009-08-04,63990
2009-08-05,64364
2009-08-06,63815
2009-08-07,63823
2009-08-08,64181
2009-08-09,64685
2009-08-10,65109
2009-08-11,65456
2009-08-12,65751
2009-08-13,66117
2009-08-14,64425
2009-08-15,62684
2009-08-16,63112
2009-08-17,63074
2009-08-18,63846
2009-08-19,64793
2009-08-20,65302
2009-08-21,66062
2009-08-22,66445
2009-08-23,67051
2009-08-24,67644
2009-08-25,67613
2009-08-26,67525
2009-08-27,67359
2009-08-28,67019
2009-08-29,67145
2009-08-30,67438
2009-08-31,67613
2009-09-01,67748
2009-09-02,67644
2009-09-03,67494
2009-09-04,67185
2009-09-05,66830
2009-09-06,66516
2009-09-07,66172
2009-09-08,66023
2009-09-09,65899
2009-09-10,65759
2009-09-11,65697
2009-09-12,65433
2009-09-13,65294
2009-09-14,65309
2009-09-15,65263
2009-09-16,65201
2009-09-17,65340
2009-09-18,65503
2009-09-19,65596
2009-09-20,65728
2009-09-21,65681
2009-09-22,66720
2009-09-23,67272
2009-09-24,67454
2009-09-25,67367
2009-09-26,67185
2009-09-27,66988
2009-09-28,66414
2009-09-29,66438
2009-09-30,67756
2009-10-01,68019
2009-10-02,67748
2009-10-03,67517
2009-10-04,67280
2009-10-05,67011
2009-10-06,66712
2009-10-07,66414
2009-10-08,66062
2009-10-09,65704
2009-10-10,65340
2009-10-11,64985
2009-10-12,64387
2009-10-13,64249
2009-10-14,64379
2009-10-15,64333
2009-10-16,64120
2009-10-17,64043
2009-10-18,63922
2009-10-19,63884
2009-10-20,64051
2009-10-21,64242
2009-10-22,64402
2009-10-23,64578
2009-10-24,64732
2009-10-25,64870
2009-10-26,65116
2009-10-27,65294
2009-10-28,65487
2009-10-29,65542
2009-10-30,65379
2009-10-31,65263
2009-11-01,65085
2009-11-02,64862
2009-11-03,64471
2009-11-04,64387
2009-11-05,64249
2009-11-06,64196
2009-11-07,64135
2009-11-08,64120
2009-11-09,64013
2009-11-10,63998
2009-11-11,63967
2009-11-12,63906
2009-11-13,63535
2009-11-14,63135
2009-11-15,62669
2009-11-16,62266
2009-11-17,61842
2009-11-18,61494
2009-11-19,61053
2009-11-20,61185
2009-11-21,61104
2009-11-22,61207
2009-11-23,61332
2009-11-24,61435
2009-11-25,62087
2009-11-26,62504
2009-11-27,63044
2009-11-28,63550
2009-11-29,63914
2009-11-30,64295
2009-12-01,64778
2009-12-02,64985
2009-12-03,64847
2009-12-04,64440
