"Date","Storage(acre-feet)"
2001-11-02,382670
2001-11-03,381660
2001-11-04,380652
2001-11-05,NA
2001-11-06,NA
2001-11-07,NA
2001-11-08,376106
2001-11-09,374877
2001-11-10,373716
2001-11-11,372889
2001-11-12,372360
2001-11-13,371832
2001-11-14,371272
2001-11-15,370613
2001-11-16,369725
2001-11-17,369233
2001-11-18,368544
2001-11-19,367791
2001-11-20,367203
2001-11-21,366582
2001-11-22,365897
2001-11-23,365962
2001-11-24,366256
2001-11-25,368020
2001-11-26,368086
2001-11-27,367955
2001-11-28,367464
2001-11-29,367007
2001-11-30,367123
2001-12-01,366354
2001-12-02,368413
2001-12-03,370580
2001-12-04,371041
2001-12-05,371404
2001-12-06,371700
2001-12-07,371898
2001-12-08,372063
2001-12-09,372294
2001-12-10,372162
2001-12-11,371536
2001-12-12,371107
2001-12-13,370844
2001-12-14,370910
2001-12-15,370844
2001-12-16,370910
2001-12-17,371415
2001-12-18,370745
2001-12-19,370416
2001-12-20,370350
2001-12-21,370449
2001-12-22,370547
2001-12-23,370613
2001-12-24,370482
2001-12-25,370416
2001-12-26,370515
2001-12-27,370613
2001-12-28,371239
2001-12-29,NA
2001-12-30,384561
2001-12-31,388637
2002-01-01,391132
2002-01-02,393812
2002-01-03,398205
2002-01-04,400013
2002-01-05,401549
2002-01-06,402984
2002-01-07,404563
2002-01-08,406041
2002-01-09,407453
2002-01-10,408727
2002-01-11,409861
2002-01-12,409932
2002-01-13,409932
2002-01-14,411034
2002-01-15,NA
2002-01-16,NA
2002-01-17,NA
2002-01-18,NA
2002-01-19,NA
2002-01-20,NA
2002-01-21,415606
2002-01-22,415928
2002-01-23,416180
2002-01-24,416503
2002-01-25,415928
2002-01-26,416974
2002-01-27,416180
2002-01-28,417190
2002-01-29,416288
2002-01-30,416180
2002-01-31,416252
2002-02-01,416539
2002-02-02,416790
2002-02-03,417402
2002-02-04,417510
2002-02-05,417762
2002-02-06,418050
2002-02-07,418266
2002-02-08,NA
2002-02-09,419384
2002-02-10,419782
2002-02-11,420107
2002-02-12,420360
2002-02-13,420650
2002-02-14,421012
2002-02-15,421302
2002-02-16,421882
2002-02-17,422789
2002-02-18,425182
2002-02-19,425046
2002-02-20,425996
2002-02-21,427130
2002-02-22,428266
2002-02-23,429367
2002-02-24,430545
2002-02-25,431651
2002-02-26,434100
2002-02-27,435401
2002-02-28,435725
2002-03-01,436804
2002-03-02,438034
2002-03-03,439117
2002-03-04,440202
2002-03-05,NA
2002-03-06,442718
2002-03-07,444639
2002-03-08,446756
2002-03-09,448121
2002-03-10,449375
2002-03-11,450556
2002-03-12,452832
2002-03-13,452503
2002-03-14,454785
2002-03-15,453920
2002-03-16,453996
2002-03-17,454226
2002-03-18,454150
2002-03-19,454112
2002-03-20,453980
2002-03-21,452503
2002-03-22,452350
2002-03-23,453652
2002-03-24,454879
2002-03-25,455532
2002-03-26,455955
2002-03-27,456109
2002-03-28,456224
2002-03-29,456648
2002-03-30,457765
2002-03-31,460685
2002-04-01,460704
2002-04-02,462762
2002-04-03,465960
2002-04-04,469764
2002-04-05,472998
2002-04-06,475971
2002-04-07,478080
2002-04-08,480997
2002-04-09,484974
2002-04-10,487437
