"Date","Storage(acre-feet)"
2009-03-24,711178
2009-03-25,716674
2009-03-26,721425
2009-03-27,726180
2009-03-28,730473
2009-03-29,735352
2009-03-30,740949
2009-03-31,745863
2009-04-01,749322
2009-04-02,753078
2009-04-03,756247
2009-04-04,759728
2009-04-05,761120
2009-04-06,762115
2009-04-07,763706
2009-04-08,766399
2009-04-09,768702
2009-04-10,770003
2009-04-11,771105
2009-04-12,771004
2009-04-13,772406
2009-04-14,772706
2009-04-15,772506
2009-04-16,772306
2009-04-17,771605
2009-04-18,771705
2009-04-19,772506
2009-04-20,774608
2009-04-21,779039
2009-04-22,785389
2009-04-23,789446
2009-04-24,792488
2009-04-25,792285
2009-04-26,790460
2009-04-27,788431
2009-04-28,786809
2009-04-29,783171
2009-04-30,780450
2009-05-01,780047
2009-05-02,793198
2009-05-03,809130
2009-05-04,825620
2009-05-05,848558
2009-05-06,865848
2009-05-07,877528
2009-05-08,887247
2009-05-09,895078
2009-05-10,900991
2009-05-11,908012
2009-05-12,912340
2009-05-13,915054
2009-05-14,917877
2009-05-15,919614
2009-05-16,921569
2009-05-17,924515
2009-05-18,927135
2009-05-19,930628
2009-05-20,935007
2009-05-21,938738
2009-05-22,941153
2009-05-23,941702
2009-05-24,942360
2009-05-25,942031
2009-05-26,942031
2009-05-27,941811
2009-05-28,940604
2009-05-29,938629
2009-05-30,936214
2009-05-31,933141
2009-06-01,931065
2009-06-02,928663
2009-06-03,926917
2009-06-04,926371
2009-06-05,926043
2009-06-06,925388
2009-06-07,925825
2009-06-08,926262
2009-06-09,923969
2009-06-10,923096
2009-06-11,922332
2009-06-12,921243
2009-06-13,921460
2009-06-14,920700
2009-06-15,919506
2009-06-16,918854
2009-06-17,917660
2009-06-18,917769
2009-06-19,915814
2009-06-20,911471
2009-06-21,907580
2009-06-22,903259
2009-06-23,899268
2009-06-24,894433
2009-06-25,888422
2009-06-26,880941
2009-06-27,874127
2009-06-28,867857
2009-06-29,862570
2009-06-30,855287
2009-07-01,846040
2009-07-02,838097
2009-07-03,829462
2009-07-04,821074
2009-07-05,811800
2009-07-06,802983
2009-07-07,794314
2009-07-08,785287
2009-07-09,776520
2009-07-10,768302
2009-07-11,760324
2009-07-12,752287
2009-07-13,743404
2009-07-14,735745
2009-07-15,727839
2009-07-16,719195
2009-07-17,711563
2009-07-18,704063
2009-07-19,696789
2009-07-20,689185
2009-07-21,681149
2009-07-22,674377
2009-07-23,665959
2009-07-24,657779
2009-07-25,649375
2009-07-26,641213
2009-07-27,633836
2009-07-28,626140
2009-07-29,617864
2009-07-30,609202
2009-07-31,601048
2009-08-01,593480
2009-08-02,586398
2009-08-03,579975
2009-08-04,572905
2009-08-05,567674
2009-08-06,561957
2009-08-07,555694
2009-08-08,550221
2009-08-09,544356
2009-08-10,538376
2009-08-11,533419
2009-08-12,528152
2009-08-13,523503
2009-08-14,518784
2009-08-15,513775
2009-08-16,509434
2009-08-17,504711
2009-08-18,501055
2009-08-19,497408
2009-08-20,493073
2009-08-21,489932
2009-08-22,486101
2009-08-23,482055
2009-08-24,477645
2009-08-25,473562
2009-08-26,470041
2009-08-27,466226
2009-08-28,462207
2009-08-29,459563
2009-08-30,455725
2009-08-31,451610
2009-09-01,449445
2009-09-02,447520
2009-09-03,445595
2009-09-04,442781
2009-09-05,439775
2009-09-06,436334
2009-09-07,433713
2009-09-08,432409
