"Date","Storage(acre-feet)"
2001-11-02,983
2001-11-03,987
2001-11-04,984
2001-11-05,953
2001-11-06,975
2001-11-07,940
2001-11-08,933
2001-11-09,936
2001-11-10,918
2001-11-11,842
2001-11-12,809
2001-11-13,809
2001-11-14,828
2001-11-15,842
2001-11-16,853
2001-11-17,864
2001-11-18,874
2001-11-19,880
2001-11-20,888
2001-11-21,925
2001-11-22,945
2001-11-23,945
2001-11-24,965
2001-11-25,905
2001-11-26,972
2001-11-27,969
2001-11-28,952
2001-11-29,940
2001-11-30,969
2001-12-01,906
2001-12-02,913
2001-12-03,935
2001-12-04,959
2001-12-05,1031
2001-12-06,971
2001-12-07,993
2001-12-08,990
2001-12-09,988
2001-12-10,996
2001-12-11,920
2001-12-12,932
2001-12-13,923
2001-12-14,953
2001-12-15,956
2001-12-16,911
2001-12-17,1055
2001-12-18,989
2001-12-19,939
2001-12-20,1066
2001-12-21,932
2001-12-22,922
2001-12-23,959
2001-12-24,936
2001-12-25,895
2001-12-26,938
2001-12-27,933
2001-12-28,850
2001-12-29,NA
2001-12-30,NA
2001-12-31,NA
2002-01-01,NA
2002-01-02,991
2002-01-03,964
2002-01-04,1031
2002-01-05,984
2002-01-06,989
2002-01-07,1037
2002-01-08,993
2002-01-09,1106
2002-01-10,1079
2002-01-11,1026
2002-01-12,1087
2002-01-13,1092
2002-01-14,1089
2002-01-15,1001
2002-01-16,1039
2002-01-17,NA
2002-01-18,1006
2002-01-19,1079
2002-01-20,NA
2002-01-21,NA
2002-01-22,1115
2002-01-23,1124
2002-01-24,1134
2002-01-25,997
2002-01-26,990
2002-01-27,1023
2002-01-28,992
2002-01-29,1139
2002-01-30,1121
2002-01-31,1103
2002-02-01,1081
2002-02-02,1013
2002-02-03,834
2002-02-04,1071
2002-02-05,1112
2002-02-06,1071
2002-02-07,1037
2002-02-08,1051
2002-02-09,1002
2002-02-10,1072
2002-02-11,1154
2002-02-12,NA
2002-02-13,NA
2002-02-14,NA
2002-02-15,NA
2002-02-16,NA
2002-02-17,NA
2002-02-18,NA
2002-02-19,NA
2002-02-20,NA
2002-02-21,NA
2002-02-22,NA
2002-02-23,NA
2002-02-24,NA
2002-02-25,NA
2002-02-26,NA
2002-02-27,NA
2002-02-28,NA
2002-03-01,NA
2002-03-02,NA
2002-03-03,NA
2002-03-04,NA
2002-03-05,NA
2002-03-06,NA
2002-03-07,NA
2002-03-08,NA
2002-03-09,NA
2002-03-10,NA
2002-03-11,877
2002-03-12,894
2002-03-13,882
2002-03-14,860
2002-03-15,853
2002-03-16,849
2002-03-17,851
2002-03-18,850
2002-03-19,851
2002-03-20,1039
2002-03-21,1115
2002-03-22,1070
2002-03-23,1021
2002-03-24,999
2002-03-25,936
2002-03-26,953
2002-03-27,909
2002-03-28,961
2002-03-29,985
2002-03-30,998
2002-03-31,967
2002-04-01,1066
2002-04-02,1006
2002-04-03,1121
2002-04-04,1151
2002-04-05,997
2002-04-06,1016
2002-04-07,1026
2002-04-08,1037
2002-04-09,1011
2002-04-10,984
2002-04-11,978
2002-04-12,992
2002-04-13,969
2002-04-14,1026
2002-04-15,1026
2002-04-16,1070
2002-04-17,951
2002-04-18,946
2002-04-19,963
2002-04-20,886
2002-04-21,915
2002-04-22,1065
2002-04-23,1062
2002-04-24,1041
2002-04-25,953
2002-04-26,942
2002-04-27,931
2002-04-28,914
2002-04-29,1122
2002-04-30,1001
2002-05-01,1038
2002-05-02,944
2002-05-03,1066
2002-05-04,1066
2002-05-05,1066
2002-05-06,954
2002-05-07,991
2002-05-08,981
2002-05-09,941
2002-05-10,936
2002-05-11,926
2002-05-12,936
2002-05-13,991
2002-05-14,1010
2002-05-15,909
2002-05-16,923
2002-05-17,914
2002-05-18,909
2002-05-19,894
2002-05-20,904
2002-05-21,905
2002-05-22,1123
2002-05-23,1162
2002-05-24,1171
2002-05-25,1116
2002-05-26,1132
2002-05-27,1071
2002-05-28,1025
2002-05-29,1134
2002-05-30,1089
2002-05-31,1090
2002-06-01,1130
2002-06-02,1089
2002-06-03,1090
2002-06-04,1115
2002-06-05,1031
2002-06-06,1058
2002-06-07,1037
2002-06-08,1076
2002-06-09,1025
2002-06-10,1100
2002-06-11,1058
2002-06-12,963
2002-06-13,1078
2002-06-14,981
2002-06-15,1017
2002-06-16,1034
2002-06-17,1095
2002-06-18,1010
2002-06-19,1095
2002-06-20,1078
2002-06-21,1128
2002-06-22,1113
2002-06-23,1047
2002-06-24,1053
2002-06-25,1014
2002-06-26,1057
2002-06-27,1116
2002-06-28,1112
2002-06-29,NA
2002-06-30,1091
2002-07-01,1104
2002-07-02,1117
2002-07-03,1084
2002-07-04,1092
2002-07-05,1130
2002-07-06,1103
2002-07-07,1106
2002-07-08,1143
2002-07-09,1051
2002-07-10,1088
2002-07-11,1007
2002-07-12,NA
2002-07-13,NA
2002-07-14,NA
2002-07-15,1139
2002-07-16,1096
2002-07-17,1128
2002-07-18,1059
