"Date","Storage(acre-feet)"
2000-08-11,NA
2000-08-12,NA
2000-08-13,NA
2000-08-14,33786
2000-08-15,33469
2000-08-16,33153
2000-08-17,32848
2000-08-18,32526
2000-08-19,32216
2000-08-20,31934
2000-08-21,31655
2000-08-22,31367
2000-08-23,31072
2000-08-24,30760
2000-08-25,30504
2000-08-26,30277
2000-08-27,30042
2000-08-28,29772
2000-08-29,29503
2000-08-30,29253
2000-08-31,29032
2000-09-01,28899
2000-09-02,28643
2000-09-03,28451
2000-09-04,28258
2000-09-05,28058
2000-09-06,27868
2000-09-07,27669
2000-09-08,27480
2000-09-09,27275
2000-09-10,27079
2000-09-11,26884
2000-09-12,26664
2000-09-13,26479
2000-09-14,26287
2000-09-15,26087
2000-09-16,25896
2000-09-17,25714
2000-09-18,25500
2000-09-19,25263
2000-09-20,25035
2000-09-21,24800
2000-09-22,24591
2000-09-23,24390
2000-09-24,24199
2000-09-25,24017
2000-09-26,23843
2000-09-27,23709
2000-09-28,23576
2000-09-29,23404
2000-09-30,23233
2000-10-01,23062
2000-10-02,22893
2000-10-03,22701
2000-10-04,22495
2000-10-05,22275
2000-10-06,22079
2000-10-07,21884
2000-10-08,21690
2000-10-09,21511
2000-10-10,21452
2000-10-11,21261
2000-10-12,21048
2000-10-13,20888
2000-10-14,20757
2000-10-15,20620
2000-10-16,20548
2000-10-17,20555
2000-10-18,20562
2000-10-19,20576
2000-10-20,20576
2000-10-21,20591
2000-10-22,20591
2000-10-23,20504
2000-10-24,20512
2000-10-25,20512
2000-10-26,20584
2000-10-27,20584
2000-10-28,20685
2000-10-29,20909
2000-10-30,20895
2000-10-31,NA
2000-11-01,20982
2000-11-02,21011
2000-11-03,21041
2000-11-04,21055
2000-11-05,21085
2000-11-06,21106
2000-11-07,21128
2000-11-08,21150
2000-11-09,21165
2000-11-10,21187
2000-11-11,21209
2000-11-12,21224
2000-11-13,21238
2000-11-14,21261
2000-11-15,21283
2000-11-16,21305
2000-11-17,21327
2000-11-18,21349
2000-11-19,21371
2000-11-20,21400
2000-11-21,21423
2000-11-22,21445
2000-11-23,21474
2000-11-24,21497
2000-11-25,21526
2000-11-26,21548
2000-11-27,21578
2000-11-28,21608
2000-11-29,21637
2000-11-30,21608
2000-12-01,21586
2000-12-02,21630
2000-12-03,21675
2000-12-04,21690
2000-12-05,21652
2000-12-06,21600
2000-12-07,21630
2000-12-08,21660
2000-12-09,21690
2000-12-10,21712
2000-12-11,NA
2000-12-12,21652
2000-12-13,21682
2000-12-14,21637
2000-12-15,21608
2000-12-16,21660
2000-12-17,21690
2000-12-18,21727
2000-12-19,21757
2000-12-20,21712
2000-12-21,NA
2000-12-22,21704
2000-12-23,21734
2000-12-24,21757
2000-12-25,21786
2000-12-26,21809
2000-12-27,21839
2000-12-28,21786
2000-12-29,21749
2000-12-30,NA
2000-12-31,NA
2001-01-01,NA
2001-01-02,21846
2001-01-03,21869
2001-01-04,21891
2001-01-05,21921
2001-01-06,21943
2001-01-07,21966
2001-01-08,NA
2001-01-09,22034
2001-01-10,22192
2001-01-11,22396
2001-01-12,NA
2001-01-13,22579
2001-01-14,22632
2001-01-15,22686
2001-01-16,22747
2001-01-17,22785
2001-01-18,22824
2001-01-19,NA
2001-01-20,22900
2001-01-21,22939
2001-01-22,22985
2001-01-23,23031
2001-01-24,23404
2001-01-25,23427
2001-01-26,23576
2001-01-27,23717
2001-01-28,23803
2001-01-29,23874
2001-01-30,23945
2001-01-31,24001
2001-02-01,24056
2001-02-02,24112
2001-02-03,24167
2001-02-04,24223
2001-02-05,24287
2001-02-06,24358
2001-02-07,24430
2001-02-08,24486
2001-02-09,24615
2001-02-10,24816
2001-02-11,25246
2001-02-12,25492
2001-02-13,25492
2001-02-14,25418
2001-02-15,25320
2001-02-16,25263
2001-02-17,25238
2001-02-18,25222
2001-02-19,25238
2001-02-20,25312
2001-02-21,25467
2001-02-22,25541
2001-02-23,25615
2001-02-24,25838
2001-02-25,26203
2001-02-26,26278
2001-02-27,26237
2001-02-28,26237
2001-03-01,26345
2001-03-02,26513
2001-03-03,26706
2001-03-04,27003
2001-03-05,28934
2001-03-06,30006
2001-03-07,30541
2001-03-08,30934
2001-03-09,31284
2001-03-10,31590
2001-03-11,31850
2001-03-12,32075
2001-03-13,32281
2001-03-14,32592
2001-03-15,32782
2001-03-16,32981
2001-03-17,33172
2001-03-18,33354
2001-03-19,33555
2001-03-20,33776
2001-03-21,33999
2001-03-22,34222
2001-03-23,34445
2001-03-24,34650
2001-03-25,34856
2001-03-26,35053
2001-03-27,35250
2001-03-28,35438
2001-03-29,35626
2001-03-30,35706
2001-03-31,35716
2001-04-01,35725
2001-04-02,35716
2001-04-03,35666
2001-04-04,35567
2001-04-05,35448
2001-04-06,35388
2001-04-07,35477
2001-04-08,35586
2001-04-09,35616
2001-04-10,35626
2001-04-11,35725
2001-04-12,35686
2001-04-13,35696
2001-04-14,35706
2001-04-15,35716
2001-04-16,35725
2001-04-17,35745
2001-04-18,35755
2001-04-19,35815
2001-04-20,36024
2001-04-21,36385
2001-04-22,36667
2001-04-23,36849
2001-04-24,36990
2001-04-25,37102
2001-04-26,37193
2001-04-27,37346
2001-04-28,37540
2001-04-29,37714
2001-04-30,37826
2001-05-01,37816
2001-05-02,37785
2001-05-03,37734
2001-05-04,37683
2001-05-05,37632
2001-05-06,37570
2001-05-07,37519
2001-05-08,37479
2001-05-09,37417
2001-05-10,37346
2001-05-11,37285
2001-05-12,37204
2001-05-13,37132
2001-05-14,37041
2001-05-15,36960
2001-05-16,36879
2001-05-17,36687
2001-05-18,36486
2001-05-19,36305
2001-05-20,36114
2001-05-21,35915
2001-05-22,35716
2001-05-23,35497
2001-05-24,35279
2001-05-25,35043
2001-05-26,34807
2001-05-27,34582
2001-05-28,34338
2001-05-29,34086
2001-05-30,33786
2001-05-31,33507
2001-06-01,33220
2001-06-02,32915
2001-06-03,32611
2001-06-04,32300
2001-06-05,31972
2001-06-06,31664
2001-06-07,31349
2001-06-08,31026
2001-06-09,NA
2001-06-10,30395
2001-06-11,30069
2001-06-12,29736
2001-06-13,29396
2001-06-14,29076
2001-06-15,28749
2001-06-16,28424
2001-06-17,28093
2001-06-18,27738
2001-06-19,27386
2001-06-20,27020
2001-06-21,26647
2001-06-22,26278
2001-06-23,25904
2001-06-24,25525
2001-06-25,25149
2001-06-26,24800
2001-06-27,24470
2001-06-28,24143
2001-06-29,23827
2001-06-30,23513
2001-07-01,23202
2001-07-02,22870
2001-07-03,22510
2001-07-04,22162
2001-07-05,21801
