"Date","Storage(acre-feet)"
2001-05-11,16440
2001-05-12,16530
2001-05-13,16620
2001-05-14,16704
2001-05-15,16823
2001-05-16,16942
2001-05-17,17068
2001-05-18,17104
2001-05-19,17118
2001-05-20,17160
2001-05-21,17202
2001-05-22,17223
2001-05-23,17265
2001-05-24,17272
2001-05-25,17272
2001-05-26,17265
2001-05-27,17251
2001-05-28,17244
2001-05-29,17244
2001-05-30,17230
2001-05-31,17223
2001-06-01,17160
2001-06-02,17131
2001-06-03,17110
2001-06-04,17061
2001-06-05,17026
2001-06-06,17012
2001-06-07,16991
2001-06-08,16956
2001-06-09,16963
2001-06-10,16935
2001-06-11,16914
2001-06-12,16907
2001-06-13,16886
2001-06-14,16886
2001-06-15,16879
2001-06-16,16879
2001-06-17,16858
2001-06-18,16858
2001-06-19,16851
2001-06-20,16844
2001-06-21,16830
2001-06-22,16802
2001-06-23,16781
2001-06-24,16767
2001-06-25,16746
2001-06-26,16725
2001-06-27,16711
2001-06-28,16704
2001-06-29,16718
2001-06-30,16697
2001-07-01,16690
2001-07-02,16683
2001-07-03,16683
2001-07-04,16662
2001-07-05,16648
2001-07-06,16642
2001-07-07,16628
2001-07-08,16620
2001-07-09,16614
2001-07-10,16607
2001-07-11,16586
2001-07-12,16572
2001-07-13,16558
2001-07-14,16537
2001-07-15,16516
2001-07-16,16488
2001-07-17,16482
2001-07-18,16704
2001-07-19,16683
2001-07-20,16662
2001-07-21,16656
2001-07-22,16656
2001-07-23,16656
2001-07-24,16642
2001-07-25,16634
2001-07-26,16607
2001-07-27,16586
2001-07-28,16551
2001-07-29,16516
2001-07-30,16495
2001-07-31,16488
2001-08-01,16468
2001-08-02,16454
2001-08-03,16433
2001-08-04,16391
2001-08-05,16391
2001-08-06,16384
2001-08-07,16377
2001-08-08,16370
2001-08-09,16356
2001-08-10,16322
2001-08-11,16322
2001-08-12,16294
2001-08-13,16273
2001-08-14,16259
2001-08-15,16253
2001-08-16,16225
2001-08-17,16211
2001-08-18,16183
2001-08-19,16163
2001-08-20,16142
2001-08-21,16128
2001-08-22,16100
2001-08-23,16080
2001-08-24,15468
2001-08-25,15270
2001-08-26,15094
2001-08-27,16080
2001-08-28,16073
2001-08-29,16052
2001-08-30,16045
2001-08-31,16038
2001-09-01,16018
2001-09-02,15990
2001-09-03,15983
2001-09-04,15976
2001-09-05,15935
2001-09-06,15935
2001-09-07,15921
2001-09-08,15907
2001-09-09,15784
2001-09-10,15736
2001-09-11,NA
2001-09-12,15667
2001-09-13,15605
2001-09-14,15558
2001-09-15,15509
2001-09-16,15468
2001-09-17,15427
2001-09-18,15366
2001-09-19,15332
2001-09-20,15277
2001-09-21,15250
2001-09-22,15189
2001-09-23,15128
2001-09-24,15080
2001-09-25,15060
2001-09-26,15026
2001-09-27,14958
2001-09-28,14917
2001-09-29,14877
2001-09-30,14836
2001-10-01,14809
2001-10-02,14748
2001-10-03,14694
2001-10-04,14654
2001-10-05,14606
2001-10-06,14559
2001-10-07,14519
2001-10-08,14472
2001-10-09,14431
2001-10-10,14438
2001-10-11,14404
2001-10-12,14404
2001-10-13,14397
2001-10-14,14391
2001-10-15,14384
2001-10-16,14223
2001-10-17,13762
2001-10-18,13689
2001-10-19,14337
2001-10-20,14324
2001-10-21,14304
2001-10-22,14283
2001-10-23,14270
2001-10-24,14256
2001-10-25,14250
2001-10-26,14236
2001-10-27,14243
2001-10-28,14223
2001-10-29,14216
2001-10-30,14250
2001-10-31,14250
2001-11-01,14250
2001-11-02,14236
2001-11-03,14223
2001-11-04,14223
2001-11-05,14216
2001-11-06,14196
2001-11-07,14183
2001-11-08,14176
2001-11-09,14163
2001-11-10,14163
2001-11-11,14183
2001-11-12,14190
2001-11-13,14190
2001-11-14,14190
2001-11-15,14183
2001-11-16,14176
2001-11-17,14163
2001-11-18,14163
2001-11-19,14163
2001-11-20,14109
2001-11-21,14243
2001-11-22,14317
2001-11-23,NA
2001-11-24,14445
2001-11-25,14451
2001-11-26,14438
2001-11-27,14438
2001-11-28,14472
2001-11-29,14485
2001-11-30,14478
2001-12-01,14546
2001-12-02,14761
2001-12-03,14782
2001-12-04,14782
2001-12-05,14823
2001-12-06,14823
2001-12-07,14829
2001-12-08,14823
2001-12-09,14816
2001-12-10,14802
2001-12-11,14802
2001-12-12,14802
2001-12-13,14836
2001-12-14,14877
2001-12-15,14877
2001-12-16,14890
2001-12-17,NA
2001-12-18,14944
2001-12-19,14931
2001-12-20,14958
2001-12-21,14958
2001-12-22,15006
2001-12-23,15006
2001-12-24,14999
2001-12-25,14999
2001-12-26,15006
2001-12-27,15006
2001-12-28,15019
2001-12-29,15019
2001-12-30,15053
2001-12-31,15060
2002-01-01,NA
2002-01-02,15114
2002-01-03,15121
2002-01-04,15128
2002-01-05,15148
2002-01-06,15216
2002-01-07,15250
2002-01-08,15250
2002-01-09,15250
2002-01-10,15257
2002-01-11,15264
2002-01-12,15257
2002-01-13,15264
2002-01-14,15250
2002-01-15,15257
2002-01-16,15250
2002-01-17,15257
2002-01-18,15264
2002-01-19,15264
2002-01-20,15270
2002-01-21,15291
2002-01-22,15291
2002-01-23,15298
2002-01-24,15298
2002-01-25,15291
2002-01-26,15414
2002-01-27,15414
2002-01-28,15421
2002-01-29,15414
2002-01-30,15421
2002-01-31,15427
2002-02-01,15421
2002-02-02,15421
2002-02-03,15427
2002-02-04,15427
