"Date","Storage(acre-feet)"
2009-03-24,13882
2009-03-25,13941
2009-03-26,14098
2009-03-27,14307
2009-03-28,14053
2009-03-29,14046
2009-03-30,14105
2009-03-31,14001
2009-04-01,13779
2009-04-02,13852
2009-04-03,14180
2009-04-04,14158
2009-04-05,14068
2009-04-06,13889
2009-04-07,13882
2009-04-08,13653
2009-04-09,13587
2009-04-10,13698
2009-04-11,13786
2009-04-12,13956
2009-04-13,14210
2009-04-14,14188
2009-04-15,14405
2009-04-16,14001
2009-04-17,13896
2009-04-18,13986
2009-04-19,13867
2009-04-20,13639
2009-04-21,13477
2009-04-22,13587
2009-04-23,13595
2009-04-24,13742
2009-04-25,13771
2009-04-26,13756
2009-04-27,13771
2009-04-28,14016
2009-04-29,14292
2009-04-30,14465
2009-05-01,14061
2009-05-02,14233
2009-05-03,14225
2009-05-04,14128
2009-05-05,14255
2009-05-06,13565
2009-05-07,13896
2009-05-08,14068
2009-05-09,14322
2009-05-10,14255
2009-05-11,14240
2009-05-12,14292
2009-05-13,14240
2009-05-14,14158
2009-05-15,14158
2009-05-16,14315
2009-05-17,14165
2009-05-18,14165
2009-05-19,13978
2009-05-20,14120
2009-05-21,13911
2009-05-22,14210
2009-05-23,14292
2009-05-24,14053
2009-05-25,14120
2009-05-26,13639
2009-05-27,13896
2009-05-28,13823
2009-05-29,14091
2009-05-30,14180
2009-05-31,13978
2009-06-01,13971
2009-06-02,13986
2009-06-03,14150
2009-06-04,14195
2009-06-05,14300
2009-06-06,14315
2009-06-07,14218
2009-06-08,14210
2009-06-09,14150
2009-06-10,14285
2009-06-11,14435
2009-06-12,14315
2009-06-13,14188
2009-06-14,14173
2009-06-15,14292
2009-06-16,14053
2009-06-17,14165
2009-06-18,14218
2009-06-19,14188
2009-06-20,14016
2009-06-21,13986
2009-06-22,14083
2009-06-23,14001
2009-06-24,14105
2009-06-25,14270
2009-06-26,14173
2009-06-27,14173
2009-06-28,13941
2009-06-29,14053
2009-06-30,14135
2009-07-01,14188
2009-07-02,14173
2009-07-03,13971
2009-07-04,14135
2009-07-05,13874
2009-07-06,14038
2009-07-07,13793
2009-07-08,13859
2009-07-09,13595
2009-07-10,13852
2009-07-11,13742
2009-07-12,14076
2009-07-13,13727
2009-07-14,14068
2009-07-15,14135
2009-07-16,14135
2009-07-17,13963
2009-07-18,13911
2009-07-19,13926
2009-07-20,14128
2009-07-21,14158
2009-07-22,14076
2009-07-23,14113
2009-07-24,14105
2009-07-25,14083
2009-07-26,14143
2009-07-27,14203
2009-07-28,14225
2009-07-29,14330
2009-07-30,14382
2009-07-31,14038
2009-08-01,14053
2009-08-02,14135
2009-08-03,14292
2009-08-04,14697
2009-08-05,14360
2009-08-06,14337
2009-08-07,14233
2009-08-08,14195
2009-08-09,14210
2009-08-10,14360
2009-08-11,14210
2009-08-12,14061
2009-08-13,14061
2009-08-14,14061
2009-08-15,14218
2009-08-16,14248
2009-08-17,14465
2009-08-18,14322
2009-08-19,14105
2009-08-20,14367
2009-08-21,14397
2009-08-22,14494
2009-08-23,14315
2009-08-24,14270
2009-08-25,14210
2009-08-26,14450
2009-08-27,13963
2009-08-28,14270
2009-08-29,14278
2009-08-30,14322
2009-08-31,14457
2009-09-01,14367
2009-09-02,14233
2009-09-03,14330
2009-09-04,14292
2009-09-05,14270
2009-09-06,14300
2009-09-07,14173
2009-09-08,14270
2009-09-09,14479
2009-09-10,14435
2009-09-11,14322
2009-09-12,14345
2009-09-13,14412
2009-09-14,14300
2009-09-15,14322
2009-09-16,14008
2009-09-17,14360
2009-09-18,14300
2009-09-19,14158
2009-09-20,14105
2009-09-21,14150
2009-09-22,14105
2009-09-23,14188
2009-09-24,13918
2009-09-25,13941
2009-09-26,14390
2009-09-27,13933
2009-09-28,14539
2009-09-29,13477
2009-09-30,13631
2009-10-01,14076
2009-10-02,13646
2009-10-03,13926
2009-10-04,13786
2009-10-05,14270
2009-10-06,14180
2009-10-07,14233
2009-10-08,14143
2009-10-09,13698
2009-10-10,13845
2009-10-11,13971
2009-10-12,14120
2009-10-13,13867
2009-10-14,14113
2009-10-15,13941
2009-10-16,13926
2009-10-17,14046
2009-10-18,13978
2009-10-19,13941
2009-10-20,13911
2009-10-21,13896
2009-10-22,13867
2009-10-23,13896
2009-10-24,13882
2009-10-25,13882
2009-10-26,13896
2009-10-27,13867
2009-10-28,13896
2009-10-29,13896
2009-10-30,13941
2009-10-31,13882
2009-11-01,13808
2009-11-02,13911
2009-11-03,13963
2009-11-04,14038
2009-11-05,14076
2009-11-06,14083
2009-11-07,14165
2009-11-08,14218
2009-11-09,14218
2009-11-10,14210
2009-11-11,14143
2009-11-12,14083
2009-11-13,14008
2009-11-14,13918
2009-11-15,13845
2009-11-16,13786
2009-11-17,13749
2009-11-18,14427
2009-11-19,14046
2009-11-20,14031
2009-11-21,13971
2009-11-22,14180
2009-11-23,14150
2009-11-24,14031
2009-11-25,13918
2009-11-26,13993
2009-11-27,13948
2009-11-28,13978
2009-11-29,13867
2009-11-30,13764
2009-12-01,13874
2009-12-02,13918
2009-12-03,14091
2009-12-04,14053
2009-12-05,14150
2009-12-06,13971
2009-12-07,14098
2009-12-08,14061
2009-12-09,14150
2009-12-10,14001
2009-12-11,13948
2009-12-12,13859
2009-12-13,13882
2009-12-14,13720
2009-12-15,NA
2009-12-16,13948
2009-12-17,14046
2009-12-18,14278
2009-12-19,14195
2009-12-20,14180
2009-12-21,14158
2009-12-22,14105
2009-12-23,14083
2009-12-24,14367
2009-12-25,14061
2009-12-26,14098
2009-12-27,13978
2009-12-28,14001
2009-12-29,13918
2009-12-30,13978
2009-12-31,13918
2010-01-01,14083
2010-01-02,14195
2010-01-03,14158
2010-01-04,14203
2010-01-05,14203
2010-01-06,14180
2010-01-07,14038
2010-01-08,13971
2010-01-09,13734
2010-01-10,13837
2010-01-11,13911
2010-01-12,14023
2010-01-13,14225
2010-01-14,14210
2010-01-15,14076
2010-01-16,13986
2010-01-17,14008
2010-01-18,14068
2010-01-19,14165
2010-01-20,14435
2010-01-21,14091
2010-01-22,14165
2010-01-23,14158
2010-01-24,13786
2010-01-25,14315
2010-01-26,14143
2010-01-27,14195
2010-01-28,14210
2010-01-29,14128
2010-01-30,14068
2010-01-31,14038
2010-02-01,14091
2010-02-02,14105
2010-02-03,14113
2010-02-04,14263
2010-02-05,13941
2010-02-06,14113
2010-02-07,13852
2010-02-08,13941
2010-02-09,13948
2010-02-10,14031
2010-02-11,14068
2010-02-12,14068
2010-02-13,14083
2010-02-14,14120
2010-02-15,14128
2010-02-16,14128
2010-02-17,14098
2010-02-18,14210
2010-02-19,14173
2010-02-20,14098
2010-02-21,13978
2010-02-22,13926
2010-02-23,14255
2010-02-24,14038
2010-02-25,13690
2010-02-26,14038
2010-02-27,14173
2010-02-28,14218
2010-03-01,14218
2010-03-02,14225
2010-03-03,14076
2010-03-04,14076
2010-03-05,13986
2010-03-06,13904
2010-03-07,13793
2010-03-08,13779
2010-03-09,13771
2010-03-10,13874
2010-03-11,13852
2010-03-12,14180
2010-03-13,14195
2010-03-14,14143
2010-03-15,14128
2010-03-16,14023
2010-03-17,13918
2010-03-18,13823
2010-03-19,13771
2010-03-20,13793
2010-03-21,13764
2010-03-22,13779
2010-03-23,13896
2010-03-24,14008
2010-03-25,14053
2010-03-26,14068
2010-03-27,13963
2010-03-28,13852
2010-03-29,13720
