"Date","Storage(acre-feet)"
2000-12-15,7857
2000-12-16,7810
2000-12-17,7927
2000-12-18,7737
2000-12-19,7974
2000-12-20,8003
2000-12-21,7984
2000-12-22,8336
2000-12-23,8228
2000-12-24,8021
2000-12-25,7611
2000-12-26,7800
2000-12-27,8242
2000-12-28,8007
2000-12-29,7918
2000-12-30,8176
2000-12-31,8106
2001-01-01,7998
2001-01-02,8172
2001-01-03,8256
2001-01-04,8144
2001-01-05,7701
2001-01-06,7598
2001-01-07,7598
2001-01-08,8281
2001-01-09,8129
2001-01-10,8371
2001-01-11,8411
2001-01-12,8209
2001-01-13,8186
2001-01-14,8616
2001-01-15,8511
2001-01-16,8186
2001-01-17,8606
2001-01-18,8556
2001-01-19,8125
2001-01-20,7956
2001-01-21,8471
2001-01-22,8381
2001-01-23,8172
2001-01-24,7946
2001-01-25,8411
2001-01-26,8050
2001-01-27,7391
2001-01-28,7589
2001-01-29,7481
2001-01-30,7494
2001-01-31,7458
2001-02-01,7544
2001-02-02,7894
2001-02-03,7796
2001-02-04,7819
2001-02-05,7904
2001-02-06,7692
2001-02-07,8311
2001-02-08,7890
2001-02-09,8031
2001-02-10,7965
2001-02-11,8486
2001-02-12,8361
2001-02-13,7941
2001-02-14,7838
2001-02-15,7665
2001-02-16,8017
2001-02-17,7871
2001-02-18,7852
2001-02-19,7724
2001-02-20,7988
2001-02-21,7988
2001-02-22,7951
2001-02-23,8381
2001-02-24,8139
2001-02-25,7965
2001-02-26,7548
2001-02-27,7800
2001-02-28,8003
2001-03-01,8286
2001-03-02,8451
2001-03-03,8026
2001-03-04,7885
2001-03-05,8059
2001-03-06,7328
2001-03-07,7445
2001-03-08,7885
2001-03-09,7956
2001-03-10,8078
2001-03-11,7769
2001-03-12,7656
2001-03-13,8195
2001-03-14,8219
2001-03-15,8021
2001-03-16,7810
2001-03-17,7719
2001-03-18,7634
2001-03-19,7998
2001-03-20,8162
2001-03-21,8256
2001-03-22,7782
2001-03-23,7629
2001-03-24,7575
2001-03-25,7838
2001-03-26,8031
2001-03-27,7993
2001-03-28,7894
2001-03-29,7616
2001-03-30,7467
2001-03-31,7724
2001-04-01,7829
2001-04-02,8092
2001-04-03,7819
2001-04-04,8007
2001-04-05,8050
2001-04-06,8073
2001-04-07,8261
2001-04-08,8256
2001-04-09,8040
2001-04-10,7941
2001-04-11,7876
2001-04-12,7737
2001-04-13,8040
2001-04-14,7894
2001-04-15,7857
2001-04-16,8144
2001-04-17,7979
2001-04-18,7847
2001-04-19,7979
2001-04-20,8536
2001-04-21,8176
2001-04-22,7715
2001-04-23,7829
2001-04-24,8153
2001-04-25,8176
2001-04-26,8017
2001-04-27,7810
2001-04-28,7824
2001-04-29,7769
2001-04-30,7701
2001-05-01,7629
2001-05-02,7530
2001-05-03,7494
2001-05-04,7800
2001-05-05,7941
2001-05-06,7927
2001-05-07,8356
