"Date","Storage(acre-feet)"
2009-03-24,181560
2009-03-25,181840
2009-03-26,181820
2009-03-27,181860
2009-03-28,181790
2009-03-29,180740
2009-03-30,179610
2009-03-31,178480
2009-04-01,177510
2009-04-02,176450
2009-04-03,175330
2009-04-04,174120
2009-04-05,175440
2009-04-06,175290
2009-04-07,175250
2009-04-08,175150
2009-04-09,175110
2009-04-10,175000
2009-04-11,174920
2009-04-12,176470
2009-04-13,176260
2009-04-14,176060
2009-04-15,175930
2009-04-16,176160
2009-04-17,175680
2009-04-18,175310
2009-04-19,176860
2009-04-20,176760
2009-04-21,176930
2009-04-22,176970
2009-04-23,176930
2009-04-24,176970
2009-04-25,176930
2009-04-26,178500
2009-04-27,178130
2009-04-28,178070
2009-04-29,177920
2009-04-30,177820
2009-05-01,177820
2009-05-02,180280
2009-05-03,184830
2009-05-04,187850
2009-05-05,189490
2009-05-06,190720
2009-05-07,191240
2009-05-08,192920
2009-05-09,194700
2009-05-10,196400
2009-05-11,198170
2009-05-12,199370
2009-05-13,199580
2009-05-14,199490
2009-05-15,199370
2009-05-16,199350
2009-05-17,199350
2009-05-18,199460
2009-05-19,199660
2009-05-20,200090
2009-05-21,200180
2009-05-22,199980
2009-05-23,199660
2009-05-24,199290
2009-05-25,199140
2009-05-26,198880
2009-05-27,198930
2009-05-28,199420
2009-05-29,199330
2009-05-30,198910
2009-05-31,198750
2009-06-01,198570
2009-06-02,198480
2009-06-03,198280
2009-06-04,198170
2009-06-05,197860
2009-06-06,197240
2009-06-07,196440
2009-06-08,195270
2009-06-09,195210
2009-06-10,194960
2009-06-11,194520
2009-06-12,194080
2009-06-13,193760
2009-06-14,194880
2009-06-15,194810
2009-06-16,194330
2009-06-17,193910
2009-06-18,193400
2009-06-19,192920
2009-06-20,192550
2009-06-21,193140
2009-06-22,193890
2009-06-23,193820
2009-06-24,193600
2009-06-25,193250
2009-06-26,194130
2009-06-27,195010
2009-06-28,195870
2009-06-29,195650
2009-06-30,195360
2009-07-01,195140
2009-07-02,194900
2009-07-03,195540
2009-07-04,196200
2009-07-05,196840
2009-07-06,196240
2009-07-07,195670
2009-07-08,195100
2009-07-09,194630
2009-07-10,195340
2009-07-11,195850
2009-07-12,196400
2009-07-13,195690
2009-07-14,194900
2009-07-15,194220
2009-07-16,193650
2009-07-17,192940
2009-07-18,193470
2009-07-19,194020
2009-07-20,193290
2009-07-21,192530
2009-07-22,191790
2009-07-23,191050
2009-07-24,190290
2009-07-25,190810
2009-07-26,191310
2009-07-27,190570
2009-07-28,190200
2009-07-29,189850
2009-07-30,189120
2009-07-31,188450
2009-08-01,188940
2009-08-02,189420
2009-08-03,188660
2009-08-04,187930
2009-08-05,187570
2009-08-06,186920
2009-08-07,186060
2009-08-08,186560
2009-08-09,187030
2009-08-10,186190
2009-08-11,185290
2009-08-12,184480
2009-08-13,183420
2009-08-14,182170
2009-08-15,182580
2009-08-16,182980
2009-08-17,182260
2009-08-18,181520
2009-08-19,180830
2009-08-20,180110
2009-08-21,179400
2009-08-22,179820
2009-08-23,180280
2009-08-24,179780
2009-08-25,179300
2009-08-26,178730
2009-08-27,178210
2009-08-28,177670
2009-08-29,178110
2009-08-30,178440
2009-08-31,177750
2009-09-01,176860
2009-09-02,176200
2009-09-03,175420
2009-09-04,174820
2009-09-05,175070
2009-09-06,175330
2009-09-07,175640
2009-09-08,174940
2009-09-09,174220
2009-09-10,173530
2009-09-11,172790
2009-09-12,173020
2009-09-13,173300
2009-09-14,172770
2009-09-15,172220
2009-09-16,171790
2009-09-17,171260
2009-09-18,170780
2009-09-19,170820
2009-09-20,171140
2009-09-21,170820
