"Date","Storage(acre-feet)"
2007-04-30,166770
2007-05-28,165118
2007-05-29,164409
2007-05-30,162559
2007-05-31,161345
2007-06-01,162333
2007-06-02,162296
2007-06-03,162546
2007-06-04,161733
2007-06-05,161795
2007-06-06,160897
2007-06-07,158973
2007-06-08,155854
2007-06-09,158011
2007-06-10,160897
2007-06-11,159803
2007-06-12,159072
2007-06-13,159072
2007-06-14,157175
2007-06-15,155964
2007-06-16,157212
2007-06-17,161520
2007-06-18,160822
2007-06-19,160275
2007-06-20,159939
2007-06-21,159184
2007-06-22,158665
2007-06-23,160635
2007-06-24,163778
2007-06-25,163363
2007-07-02,162571
2007-07-03,159815
2007-07-04,160735
2007-07-05,160001
2007-07-06,157802
2007-07-07,158726
2007-07-08,163476
2007-07-09,163338
2007-07-10,163816
2007-07-11,161733
2007-07-12,160275
2007-07-13,158294
2007-07-14,159035
2007-07-15,162283
2007-07-16,162810
2007-07-17,163136
2007-07-18,163136
2007-07-19,160312
2007-07-20,159728
2007-07-21,161470
2007-07-22,163929
2007-08-01,160088
2007-08-02,159456
2007-08-03,157827
2007-08-04,158986
2007-08-05,163048
2007-08-06,161558
2007-08-07,163099
2007-08-08,163665
2007-08-09,163262
2007-08-10,162321
2007-08-11,163514
2007-08-12,166260
2007-08-13,165447
2007-08-14,164068
2007-08-15,163728
2007-08-16,163023
2007-08-17,161009
2007-08-18,161308
2007-08-19,163929
2007-08-20,162446
2007-08-21,162810
2007-08-22,161995
2007-08-23,160237
2007-08-24,158184
2007-08-25,161483
2007-08-26,163073
2007-08-27,163993
2007-08-28,162584
2007-08-29,161358
2007-08-30,159456
2007-08-31,159060
2007-09-01,161021
2007-09-02,164030
2007-09-03,165358
2007-09-04,166082
2007-09-05,165080
2007-09-06,161995
2007-09-07,161158
2007-09-08,163665
2007-09-09,166019
2007-09-10,165930
2007-09-11,166159
2007-09-12,166082
2007-09-13,168061
2007-09-14,163665
2007-09-15,163577
2007-09-16,165904
2007-09-17,165219
2007-09-18,165828
2007-09-19,165016
2007-09-20,163300
2007-09-21,162008
2007-09-22,163073
2007-09-23,167179
2007-09-24,166388
2007-09-25,166464
2007-09-26,165536
2007-09-27,164877
2007-09-28,163753
2007-09-29,164675
2007-09-30,166159
2007-10-01,165574
2007-10-02,163187
2007-10-03,161483
2007-10-04,159803
2007-10-05,160685
2007-10-06,161570
2007-10-07,162371
2007-10-08,161820
2007-10-09,160685
2007-10-10,160138
2007-10-11,159766
2007-10-12,159691
2007-10-13,162496
2007-10-14,163224
2007-10-15,163300
2007-10-16,162747
2007-10-17,164447
2007-10-18,161970
2007-10-19,160747
2007-10-20,162596
2007-10-21,162935
2007-10-22,165942
2007-10-23,165333
2007-10-24,163993
2007-10-25,161970
2007-10-26,160859
2007-10-27,161795
2007-10-28,163136
2007-10-29,160685
2007-10-30,160026
2007-10-31,157581
2007-11-01,157556
2007-11-02,156074
2007-11-03,156208
2007-11-04,156575
2007-11-05,156783
2007-11-06,156783
2007-11-07,156612
2007-11-08,156379
2007-11-09,156257
2007-11-10,156037
2007-11-11,158455
2007-11-12,159728
2007-11-13,159245
2007-11-14,158949
2007-11-15,156465
