"Date","Storage(acre-feet)"
2001-11-02,568
2001-11-03,568
2001-11-04,568
2001-11-05,567
2001-11-06,565
2001-11-07,564
2001-11-08,562
2001-11-09,559
2001-11-10,558
2001-11-11,592
2001-11-12,643
2001-11-13,713
2001-11-14,792
2001-11-15,840
2001-11-16,898
2001-11-17,920
2001-11-18,931
2001-11-19,722
2001-11-20,525
2001-11-21,1039
2001-11-22,882
2001-11-23,637
2001-11-24,973
2001-11-25,661
2001-11-26,582
2001-11-27,545
2001-11-28,535
2001-11-29,535
2001-11-30,NA
2001-12-01,NA
2001-12-02,NA
2001-12-03,NA
2001-12-04,NA
2001-12-05,NA
2001-12-06,NA
2001-12-07,NA
2001-12-08,NA
2001-12-09,NA
2001-12-10,NA
2001-12-11,NA
2001-12-12,NA
2001-12-13,NA
2001-12-14,NA
2001-12-15,NA
2001-12-16,NA
2001-12-17,NA
2001-12-18,NA
2001-12-19,NA
2001-12-20,NA
2001-12-21,NA
2001-12-22,NA
2001-12-23,NA
2001-12-24,NA
2001-12-25,NA
2001-12-26,NA
2001-12-27,NA
2001-12-28,NA
2001-12-29,NA
2001-12-30,NA
2001-12-31,NA
2002-01-01,NA
2002-01-02,NA
2002-01-03,NA
2002-01-04,NA
2002-01-05,NA
2002-01-06,NA
2002-01-07,NA
2002-01-08,NA
2002-01-09,NA
2002-01-10,NA
2002-01-11,NA
2002-01-12,NA
2002-01-13,NA
2002-01-14,NA
2002-01-15,NA
2002-01-16,NA
2002-01-17,NA
2002-01-18,NA
2002-01-19,NA
2002-01-20,NA
2002-01-21,NA
2002-01-22,NA
2002-01-23,NA
2002-01-24,NA
2002-01-25,NA
2002-01-26,NA
2002-01-27,NA
2002-01-28,NA
2002-01-29,NA
2002-01-30,504
2002-01-31,502
2002-02-01,501
2002-02-02,500
2002-02-03,499
2002-02-04,0
2002-02-05,0
2002-02-06,499
2002-02-07,501
2002-02-08,502
2002-02-09,500
2002-02-10,501
2002-02-11,505
2002-02-12,507
2002-02-13,507
2002-02-14,508
2002-02-15,512
2002-02-16,513
2002-02-17,511
2002-02-18,508
2002-02-19,552
2002-02-20,661
2002-02-21,617
2002-02-22,610
2002-02-23,594
2002-02-24,559
2002-02-25,549
2002-02-26,550
2002-02-27,551
2002-02-28,551
2002-03-01,544
2002-03-02,533
2002-03-03,529
2002-03-04,529
2002-03-05,532
2002-03-06,592
2002-03-07,562
2002-03-08,539
2002-03-09,528
2002-03-10,525
2002-03-11,527
2002-03-12,541
2002-03-13,530
2002-03-14,520
2002-03-15,518
2002-03-16,514
2002-03-17,514
2002-03-18,511
2002-03-19,514
2002-03-20,526
2002-03-21,547
2002-03-22,563
2002-03-23,552
2002-03-24,536
2002-03-25,529
2002-03-26,533
2002-03-27,550
2002-03-28,581
2002-03-29,631
2002-03-30,669
2002-03-31,692
2002-04-01,733
2002-04-02,780
2002-04-03,849
2002-04-04,898
2002-04-05,835
2002-04-06,808
2002-04-07,796
2002-04-08,826
2002-04-09,829
2002-04-10,860
2002-04-11,888
2002-04-12,908
2002-04-13,921
2002-04-14,1204
2002-04-15,929
2002-04-16,731
2002-04-17,662
2002-04-18,620
2002-04-19,597
2002-04-20,585
2002-04-21,603
2002-04-22,658
2002-04-23,700
2002-04-24,715
2002-04-25,810
2002-04-26,861
