"Date","Storage(acre-feet)"
2009-03-24,2248
2009-03-25,2291
2009-03-26,2341
2009-03-27,2411
2009-03-28,2510
2009-03-29,2615
2009-03-30,2730
2009-03-31,2833
2009-04-01,2954
2009-04-02,3092
2009-04-03,3221
2009-04-04,3292
2009-04-05,3374
2009-04-06,3485
2009-04-07,3647
2009-04-08,3768
2009-04-09,3847
2009-04-10,3895
2009-04-11,3919
2009-04-12,3939
2009-04-13,4003
2009-04-14,4043
2009-04-15,4019
2009-04-16,3999
2009-04-17,4019
2009-04-18,4120
2009-04-19,4275
2009-04-20,4466
2009-04-21,4588
2009-04-22,4648
2009-04-23,4605
2009-04-24,4483
2009-04-25,4321
2009-04-26,4238
2009-04-27,4275
2009-04-28,4333
2009-04-29,4379
2009-04-30,4416
2009-05-01,4916
2009-05-02,5113
2009-05-03,5356
2009-05-04,5192
2009-05-05,5352
2009-05-06,5468
2009-05-07,5676
2009-05-08,5827
2009-05-09,5983
2009-05-10,6108
2009-05-11,6331
2009-05-12,6575
2009-05-13,6735
2009-05-14,6887
2009-05-15,7049
2009-05-16,7159
2009-05-17,7270
2009-05-18,7274
2009-05-19,7318
2009-05-20,7250
2009-05-21,7135
2009-05-22,7135
2009-05-23,7197
2009-05-24,7279
2009-05-25,7400
2009-05-26,7599
2009-05-27,7828
2009-05-28,8109
2009-05-29,8346
2009-05-30,8530
2009-05-31,8670
2009-06-01,8680
2009-06-02,8615
2009-06-03,8520
2009-06-04,8490
2009-06-05,8505
2009-06-06,8490
2009-06-07,8461
2009-06-08,8480
2009-06-09,8560
2009-06-10,8600
2009-06-11,8590
2009-06-12,8575
2009-06-13,8565
2009-06-14,8545
2009-06-15,8555
2009-06-16,8630
2009-06-17,8660
2009-06-18,8670
2009-06-19,8665
2009-06-20,8630
2009-06-21,8575
2009-06-22,8555
2009-06-23,8565
2009-06-24,8580
2009-06-25,8590
2009-06-26,8600
2009-06-27,8590
2009-06-28,8590
2009-06-29,8580
2009-06-30,8560
2009-07-01,8540
2009-07-02,8505
2009-07-03,8476
2009-07-04,8441
2009-07-05,8401
2009-07-06,8361
2009-07-07,8327
2009-07-08,8282
2009-07-09,8237
2009-07-10,8193
2009-07-11,8153
2009-07-12,8104
2009-07-13,8069
2009-07-14,8025
2009-07-15,7985
2009-07-16,7941
2009-07-17,7902
2009-07-18,7853
2009-07-19,7813
2009-07-20,7769
2009-07-21,7725
2009-07-22,7686
2009-07-23,7643
2009-07-24,7594
2009-07-25,7555
