"Date","Storage(acre-feet)"
2009-03-24,212610
2009-03-25,211353
2009-03-26,211442
2009-03-27,211592
2009-03-28,211981
2009-03-29,212311
2009-03-30,212610
2009-03-31,212939
2009-04-01,214628
2009-04-02,216349
2009-04-03,217686
2009-04-04,218051
2009-04-05,218415
2009-04-06,219910
2009-04-07,221748
2009-04-08,223040
2009-04-09,225015
2009-04-10,224799
2009-04-11,223379
2009-04-12,222824
2009-04-13,223164
2009-04-14,222824
2009-04-15,223040
2009-04-16,224768
2009-04-17,226939
2009-04-18,227374
2009-04-19,227747
2009-04-20,229464
2009-04-21,230967
2009-04-22,230310
2009-04-23,230654
2009-04-24,232603
2009-04-25,232603
2009-04-26,234181
2009-04-27,236179
2009-04-28,237005
2009-04-29,238311
2009-04-30,238375
2009-05-01,238983
2009-05-02,239207
2009-05-03,239047
2009-05-04,238631
2009-05-05,238727
2009-05-06,237514
2009-05-07,237991
2009-05-08,239111
2009-05-09,239624
2009-05-10,239367
2009-05-11,239688
2009-05-12,239624
2009-05-13,238535
2009-05-14,237418
2009-05-15,237609
2009-05-16,237895
2009-05-17,238151
2009-05-18,238503
2009-05-19,238791
2009-05-20,238791
2009-05-21,238663
2009-05-22,238695
2009-05-23,238727
2009-05-24,238759
2009-05-25,238759
2009-05-26,239239
2009-05-27,238855
2009-05-28,238887
2009-05-29,238951
2009-05-30,238951
2009-05-31,239015
2009-06-01,239015
2009-06-02,238855
2009-06-03,237418
2009-06-04,237641
2009-06-05,238023
2009-06-06,237959
2009-06-07,238215
2009-06-08,238343
2009-06-09,238439
2009-06-10,238503
2009-06-11,238439
2009-06-12,238535
2009-06-13,237991
2009-06-14,237991
2009-06-15,237991
2009-06-16,237895
2009-06-17,237673
2009-06-18,238599
2009-06-19,238087
2009-06-20,238375
2009-06-21,238663
2009-06-22,238087
2009-06-23,238055
2009-06-24,237959
2009-06-25,237673
2009-06-26,237323
2009-06-27,238087
2009-06-28,238439
2009-06-29,238055
2009-06-30,237641
2009-07-01,237577
2009-07-02,237450
2009-07-03,237704
2009-07-04,237641
2009-07-05,237387
2009-07-06,237037
2009-07-07,237704
2009-07-08,237609
2009-07-09,237514
2009-07-10,237704
2009-07-11,237736
2009-07-12,237736
2009-07-13,237927
2009-07-14,239015
2009-07-15,237545
2009-07-16,237355
2009-07-17,237196
2009-07-18,237704
2009-07-19,238439
2009-07-20,237704
2009-07-21,237450
2009-07-22,237196
2009-07-23,236942
2009-07-24,236751
2009-07-25,237228
2009-07-26,237831
2009-07-27,237545
2009-07-28,237323
2009-07-29,237355
2009-07-30,237355
2009-07-31,237768
2009-08-01,237704
2009-08-02,237673
2009-08-03,237641
2009-08-04,239175
2009-08-05,239367
2009-08-06,239303
2009-08-07,239335
2009-08-08,239111
2009-08-09,239079
2009-08-10,238919
2009-08-11,237418
2009-08-12,237704
2009-08-13,238631
2009-08-14,237514
2009-08-15,237228
2009-08-16,236783
2009-08-17,236465
2009-08-18,236656
2009-08-19,236687
2009-08-20,236719
2009-08-21,236878
2009-08-22,237482
2009-08-23,237768
2009-08-24,237387
2009-08-25,237037
2009-08-26,236719
2009-08-27,236783
2009-08-28,236624
2009-08-29,236560
2009-08-30,236211
2009-08-31,235798
2009-09-01,235861
2009-09-02,236147
2009-09-03,238503
