# Poison Flat (697)
# California  SNOTEL Site - 7736 ft
# Monthly Data for Jul 1980 to Sep 2014
#
# (As of: Wed Sep 17 14:19:49 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in)
1981,Jan 01,,2.8,Feb 01,,8.4,Mar 01,,10.1,Apr 01,,15.3,May 01,,0.0,Jun 01,,0.0
1982,,,,Feb 01,,17.0,Mar 01,,18.2,Apr 01,,28.5,May 01,,16.0,Jun 01,,0.0
1983,Jan 01,,13.5,Feb 01,,20.1,,,,,,,May 01,,17.0,Jun 01,,17.8
1984,Jan 01,,11.0,Feb 01,,8.8,Mar 01,,12.9,Apr 01,,13.1,May 01,,0.6,Jun 01,,0.0
1985,Jan 01,,8.4,Feb 01,,9.2,Mar 01,,12.0,Apr 01,,17.2,May 01,,0.0,Jun 01,,0.0
1986,Jan 01,,7.0,Feb 01,,8.5,Mar 01,,27.5,Apr 01,,21.7,May 01,,0.4,Jun 01,,0.0
1987,Jan 01,,0.5,Feb 01,,3.9,Mar 01,,8.4,Apr 01,,10.9,May 01,,0.0,Jun 01,,0.0
1988,Jan 01,,5.2,Feb 01,,11.2,Mar 01,,11.0,Apr 01,,4.9,May 01,,0.0,Jun 01,,0.0
1989,Jan 01,,9.9,Feb 01,,11.9,Mar 01,,14.7,Apr 01,,14.0,May 01,,0.0,Jun 01,,0.0
1990,Jan 01,,3.1,Feb 01,,6.7,Mar 01,,11.2,Apr 01,,11.8,May 01,,0.0,Jun 01,,0.0
1991,Jan 01,,1.9,Feb 01,,2.1,Mar 01,,3.0,Apr 01,,15.0,May 01,,8.2,Jun 01,,0.0
1992,Jan 01,,4.0,Feb 01,,5.0,Mar 01,,7.6,Apr 01,,6.9,May 01,,0.0,Jun 01,,0.0
1993,Jan 01,,10.5,Feb 01,,19.9,Mar 01,,28.4,Apr 01,,30.0,May 01,,15.1,Jun 01,,0.0
1994,Jan 01,,4.5,Feb 01,,5.4,Mar 01,,12.6,Apr 01,,12.2,May 01,,2.5,Jun 01,,0.0
1995,Jan 01,,6.9,Feb 01,,17.5,Mar 01,,18.6,Apr 01,,30.2,May 01,,26.5,Jun 01,,4.7
1996,Jan 01,,2.0,Feb 01,,9.3,Mar 01,,14.4,Apr 01,,18.9,May 01,,9.0,Jun 01,,0.0
1997,Jan 01,,14.9,Feb 01,,16.9,Mar 01,,13.7,Apr 01,,9.4,May 01,,0.0,Jun 01,,0.0
1998,Jan 01,,2.8,Feb 01,,6.6,Mar 01,,16.3,Apr 01,,21.2,May 01,,14.0,Jun 01,,0.0
1999,Jan 01,,2.3,Feb 01,,8.7,Mar 01,,16.2,Apr 01,,18.4,May 01,,15.9,Jun 01,,0.0
2000,Jan 01,,3.2,Feb 01,,9.5,Mar 01,,16.7,Apr 01,,14.0,May 01,,0.0,Jun 01,,0.0
2001,Jan 01,11,2.2,Feb 01,28,6.5,Mar 01,47,13.5,Apr 01,29,16.0,May 01,18,10.8,Jun 01,0,0.0
2002,Jan 01,32,10.5,Feb 01,36,13.1,Mar 01,34,15.4,Apr 01,41,17.8,May 01,11,7.5,Jun 01,0,0.0
2003,Jan 01,52,13.4,Feb 01,32,14.4,Mar 01,41,16.4,Apr 01,28,15.9,May 01,31,14.0,Jun 01,0,0.0
2004,Jan 01,46,8.9,Feb 01,39,10.9,Mar 01,62,16.3,Apr 01,35,14.6,May 01,0,0.1,Jun 01,0,0.0
2005,Jan 01,58,10.4,Feb 01,60,18.4,Mar 01,72,22.4,Apr 01,76,28.7,May 01,48,25.0,Jun 01,0,0.0
2006,Jan 01,28,9.1,Feb 01,46,15.1,Mar 01,50,15.1,Apr 01,67,19.9,May 01,36,16.1,Jun 01,0,0.0
2007,Jan 01,15,3.4,Feb 01,19,4.8,Mar 01,52,11.0,Apr 01,27,9.8,May 01,0,0.0,Jun 01,0,0.0
2008,Jan 01,15,2.9,Feb 01,56,13.3,Mar 01,63,19.5,Apr 01,46,19.6,May 01,18,10.8,Jun 01,0,0.0
2009,Jan 01,25,5.5,Feb 01,28,8.3,Mar 01,40,13.2,Apr 01,47,18.0,May 01,22,9.7,Jun 01,0,0.0
2010,Jan 01,27,6.6,Feb 01,48,12.2,Mar 01,58,16.9,Apr 01,56,19.5,May 01,45,20.8,Jun 01,2,0.7
2011,Jan 01,61,15.0,Feb 01,49,15.2,Mar 01,71,19.9,Apr 01,77,29.5,May 01,46,22.5,Jun 01,2,0.6
2012,Jan 01,1,0.2,Feb 01,14,4.9,Mar 01,28,6.1,Apr 01,37,9.5,May 01,0,0.0,Jun 01,0,0.0
2013,Jan 01,37,9.6,Feb 01,34,10.3,Mar 01,34,10.8,Apr 01,25,8.9,May 01,0,0.0,Jun 01,0,0.0
2014,Jan 01,9,1.6,Feb 01,24,4.4,Mar 01,34,8.1,Apr 01,30,8.7,May 01,0,0.0,Jun 01,0,0.0
