"datetime","snow.water.eq.inches"
2004-01-01,14.4
2004-02-01,18.5
2004-03-01,27.4
2004-04-01,22.1
2004-05-01,7.4
2004-06-01,0
2005-01-01,13.7
2005-02-01,21.1
2005-03-01,25.2
2005-04-01,31.4
2005-05-01,27.3
2005-06-01,0
2006-01-01,18.8
2006-02-01,24.7
2006-03-01,28.8
2006-04-01,36.8
2006-05-01,35.9
2006-06-01,7.2
2007-01-01,5.6
2007-02-01,6.4
2007-03-01,15.7
2007-04-01,11.8
2007-05-01,0.2
2007-06-01,0
2008-01-01,4.5
2008-02-01,17.9
2008-03-01,24.2
2008-04-01,22.5
2008-05-01,6.2
2008-06-01,0
2009-01-01,7.4
2009-02-01,10.1
2009-03-01,16
2009-04-01,21
2009-05-01,12.8
2009-06-01,0
2010-01-01,7.9
2010-02-01,17.5
2010-03-01,22.5
2010-04-01,25.8
2010-05-01,26.1
2010-06-01,10.5
2011-01-01,21.6
2011-02-01,22
2011-03-01,31.2
2011-04-01,45.3
2011-05-01,40.2
2011-06-01,22.8
2012-01-01,1.1
2012-02-01,5.1
2012-03-01,7.2
2012-04-01,14.1
2012-05-01,3.6
2012-06-01,0
2013-01-01,16.5
2013-02-01,18.1
2013-03-01,18.8
2013-04-01,14.9
2013-05-01,0
2013-06-01,0
2014-01-01,3.3
2014-02-01,5.4
2014-03-01,14
2014-04-01,14.7
2014-05-01,2.3
2014-06-01,0
