"datetime","snow.water.eq.inches"
1926-02-19,15.5
1926-04-24,17
1927-04-07,31.5
1928-03-30,15.6
1929-04-03,18.2
1930-03-27,19.4
1931-02-26,7.5
1931-03-27,8.4
1932-03-24,35.8
1933-03-26,17.6
1934-03-26,15.2
1935-03-26,24.2
1936-03-24,36.9
1939-04-01,12.6
1940-04-04,34.9
1941-02-26,31.6
1941-03-29,38.6
1942-02-24,30.7
1942-03-26,35.5
1943-02-24,29.3
1943-04-01,34.3
1944-02-26,17.1
1944-03-29,21.4
1945-02-26,26.4
1945-03-28,35.8
1946-03-03,22.6
1946-04-01,31.3
1947-02-26,14
1947-03-26,19
1948-02-01,8.5
1948-02-26,10
1948-03-31,14.2
1948-05-01,21.8
1949-02-26,10.1
1949-04-01,15
1950-02-01,15.5
1950-03-30,22.2
1951-02-03,21.3
1951-03-31,23
1952-02-09,27.6
1952-04-20,40.6
1953-01-31,19.9
1953-03-24,19.9
1954-01-31,10
1954-03-29,24.2
1955-01-27,13.9
1955-03-30,19.3
1956-02-02,58
1956-03-28,38
1957-01-30,9.8
1957-03-27,15.8
1958-01-29,12.7
1958-03-27,30.7
1959-01-28,8.4
1959-03-31,12.4
1960-01-26,6.3
1960-03-30,16.9
1961-01-25,9.2
1961-03-29,16.8
1962-01-27,10.9
1962-03-27,30.8
1963-03-26,23.9
1964-01-28,9.1
1964-03-31,14.3
1965-01-28,25.2
1965-03-30,33
1966-02-01,14.2
1966-03-29,18.8
1967-02-01,29
1967-03-29,32.9
1968-01-30,7.9
1968-04-02,16.4
1969-01-31,36
1969-03-27,56.6
1970-02-03,23.7
1970-03-31,28
1971-03-30,18.8
1972-02-01,19.7
1972-03-30,21
1973-01-30,15
1973-03-28,27.7
1974-01-29,26.8
1974-03-26,26.4
1975-01-29,10.2
1975-03-27,25.3
1976-01-29,5.2
1976-02-26,8.8
1976-03-31,11.3
1977-01-27,4.7
1977-02-25,7.6
1977-03-31,7.4
1978-01-30,33.9
1978-02-23,47.2
1978-03-28,45.8
1979-01-24,18.5
1979-03-02,28.4
1979-04-03,34
1980-01-30,28.7
1980-04-02,44.8
1981-02-26,13.2
1982-02-25,35
1982-04-08,47.1
1983-01-01,23.5
1983-03-30,62.7
1984-01-31,26.8
1984-03-01,33.7
1984-03-27,36.9
1985-02-05,15.7
1985-02-27,18.3
1985-03-31,21
1986-01-27,16.6
1987-01-31,4.9
1987-02-24,8.7
1987-03-26,13.2
1988-02-02,17.6
1988-03-02,20
1988-03-28,18.4
1989-01-26,13.3
1989-02-24,13.7
1989-03-28,22.2
1990-02-27,11.9
1990-04-02,13.2
1991-01-29,0
1991-02-26,0
1991-03-28,20.2
1992-01-31,17.2
1992-02-27,13.6
1992-03-30,15.3
1993-01-29,21.9
1993-03-30,35
1994-01-28,6.2
1994-03-02,12.1
1994-04-01,12.6
1995-02-02,31.3
1995-03-28,51.4
1996-02-02,19.9
1996-02-26,30.6
1996-03-29,38.1
1997-01-30,40.3
1997-04-03,32.7
1998-02-02,39.7
1998-03-30,43.7
1999-02-24,29.7
1999-04-01,31
2000-01-27,11
2000-03-02,27.9
2000-03-27,26.2
2001-02-01,8.1
2001-03-01,14.8
2001-03-28,17.2
2002-01-25,19.5
2002-03-28,27.2
2003-01-28,18.4
2003-02-26,21
2003-03-24,23.2
2004-01-26,16.3
2004-03-29,26.1
2005-01-24,24.2
2005-03-01,33.1
2005-03-31,34.6
2006-02-03,36.6
2006-03-04,39.2
2006-03-27,46.9
2007-01-30,6.3
2007-03-01,15
2007-03-26,11.4
2008-02-25,25.5
2008-03-24,26
2009-01-29,13.8
2009-03-02,24
2009-03-31,26.8
2010-01-29,16.7
2010-03-01,24
2010-03-25,30.1
2011-02-01,24.9
2011-02-23,28.2
2011-03-31,45.7
2012-01-30,7.3
2012-02-27,8.6
2012-03-30,13.7
2013-01-31,19.7
2013-01-31,19.7
2013-02-27,16.8
2013-03-26,20.9
2014-04-01,18.5
