"datetime","snow.water.eq.inches"
1958-01-31,9.4
1958-02-27,13
1958-03-26,13.7
1959-01-30,2.5
1959-02-24,6.3
1959-03-27,4.1
1960-01-21,4.8
1960-02-22,8.1
1960-03-24,6.9
1961-01-23,3.1
1961-02-25,4.6
1961-03-29,8.1
1962-01-24,10.1
1962-02-23,12.3
1962-03-27,16.6
1963-01-28,0
1963-02-23,0
1963-03-26,0
1964-01-27,11.5
1964-02-25,10.2
1964-03-24,14.7
1965-01-27,9.9
1965-02-23,5.2
1965-03-25,2.1
1966-01-26,7.3
1966-02-26,8.4
1966-03-25,9.4
1967-02-01,6.2
1967-02-28,7.3
1967-03-27,7.1
1968-01-24,3.5
1968-02-26,1.5
1968-03-27,0
1969-01-28,13.4
1969-02-26,15.4
1969-03-25,14.4
1970-01-28,5.2
1970-02-24,2.8
1970-03-27,1.2
1971-01-28,5.8
1971-02-26,5.8
1971-03-29,8.8
1972-01-28,10.5
1972-02-29,11.2
1972-03-29,0
1973-01-26,6.2
1973-02-23,6.6
1973-03-27,6.4
1974-01-25,3.6
1974-02-27,8.4
1974-04-02,11.1
1975-01-28,5.2
1975-02-24,14.3
1975-03-26,15.8
1976-01-26,6.2
1976-02-23,9.9
1976-03-29,10.9
1977-01-27,1.4
1977-02-24,0.5
1977-04-01,2.2
1978-01-25,2.4
1978-02-22,4
1978-03-27,0
1979-01-26,2.8
1979-02-26,6.5
1979-03-27,2.4
1980-01-28,5
1980-02-28,6.3
1980-03-25,5.6
1981-02-01,1.7
1981-02-26,3.6
1981-03-28,0.3
1982-01-25,4.4
1982-02-24,4.2
1982-03-26,2.3
1983-03-02,10.6
1983-03-31,11.2
1984-01-26,7.3
1984-03-27,3.3
1985-01-30,5.7
1985-03-08,7.8
1985-04-01,3.5
1986-01-30,0.6
1986-02-25,5.1
1986-03-26,0
1987-01-29,4
1987-02-25,5.6
1987-03-31,1.9
1988-01-27,11.3
1988-02-26,4.3
1988-03-29,0
1989-01-25,10.8
1989-02-28,7
1989-03-28,0
1990-02-02,3
1990-03-01,3.4
1990-03-29,0
1991-01-30,0
1991-03-28,1
1992-01-29,2.8
1992-02-26,0
1992-03-25,0
1993-01-27,12.2
1993-02-25,23.8
1993-03-29,1
1994-01-28,0.4
1994-03-01,2.7
1994-03-28,0
1995-02-02,3.7
1995-02-27,0.4
1995-03-29,0
1996-02-03,8.2
1996-02-29,1.8
1996-03-29,0
1997-02-03,0.7
1997-02-28,3.4
1997-03-28,0
1998-01-28,3
1998-02-26,9.5
1999-01-28,6.7
1999-02-26,12.3
1999-04-02,8.6
2000-03-01,10.5
2000-03-30,3
2001-01-31,2.6
2001-02-27,2.1
2001-03-29,0
2002-02-26,7.9
2002-03-28,3.3
2003-01-29,0
2003-02-26,0
2003-03-25,0
2004-02-27,11.6
2004-03-29,0
2005-01-31,2.2
2005-02-24,1.8
2005-03-30,0.7
2006-02-07,12.2
2006-02-24,6.3
2006-04-26,0
2006-07-01,4
2007-02-01,0
2007-03-05,1.8
2007-03-30,0
2008-01-23,13
2008-02-28,14
2008-03-27,6.6
2009-02-01,4
2009-02-27,3.1
2009-03-30,1.6
2010-01-28,9
2010-04-01,1.8
2011-01-27,0
2011-03-01,2.5
2011-04-01,4.2
2012-02-02,1.5
2012-04-02,3.4
2013-02-01,1.8
2014-01-28,0
