"datetime","snow.water.eq.inches"
1954-03-01,32.9
1954-03-31,42.1
1955-01-31,30.4
1955-03-30,39.4
1956-01-31,62.8
1956-02-28,74.8
1956-04-04,76.8
1957-02-26,35.6
1957-03-29,45.8
1958-03-24,61.7
1959-03-04,36.4
1959-03-27,36.7
1960-02-02,26.6
1960-03-01,38.9
1960-03-29,43.2
1961-01-30,15.2
1961-02-24,21.8
1961-04-02,33.1
1962-01-31,19.9
1962-03-05,55.8
1962-03-26,59.4
1963-01-31,0
1963-03-02,13.6
1963-03-26,19.4
1964-02-02,27.6
1964-02-28,28.1
1964-04-03,36.2
1965-02-02,54.4
1965-02-26,54.6
1965-03-26,36.2
1966-01-31,31.1
1966-03-03,39.7
1966-04-03,39.7
1967-02-05,49.1
1967-03-06,49.9
1967-04-04,70.9
1967-04-29,82.1
1968-02-03,29.1
1968-03-02,35.1
1968-03-30,40.4
1968-04-27,35.4
1969-02-03,62.6
1969-03-02,79.5
1969-03-30,84
1969-05-01,82.5
1970-01-31,39
1970-02-28,45.4
1970-03-29,48.3
1970-04-25,49.1
1971-02-02,49.5
1971-03-03,52.9
1971-03-29,59.9
1971-04-30,65.1
1972-01-31,35.7
1972-03-03,42.9
1972-03-31,41
1972-04-30,44.6
1973-01-30,41
1973-02-27,51.2
1973-03-27,55.1
1973-04-27,51.4
1974-01-29,34.4
1974-02-25,39.2
1974-03-31,61.4
1974-04-30,62.3
1975-01-27,20.1
1975-02-24,43.1
1975-03-29,60.3
1975-04-27,64.3
1975-12-26,9.3
1976-01-26,12.4
1976-02-23,17.7
1976-03-26,26.1
1976-04-27,23.3
1976-12-31,8.6
1977-01-31,7.3
1977-02-24,12.9
1977-04-02,19
1977-04-26,8.9
1977-12-29,1.4
1978-01-23,46.8
1978-02-23,58
1978-03-27,64.1
1978-04-29,80.3
1978-12-31,24
1979-01-30,20.1
1979-02-26,36.1
1979-04-01,44.6
1979-04-27,46.7
1979-12-29,9.8
1980-01-31,39.4
1980-02-26,59
1980-03-27,64.4
1980-04-24,62
1980-12-27,17.1
1981-01-31,19
1981-02-26,22.1
1981-04-02,33.3
1981-04-29,23.9
1981-12-30,6.7
1982-01-25,43.5
1982-02-24,48.6
1982-04-09,80.1
1982-04-29,77.7
1983-01-01,34
1983-01-25,44
1983-02-22,66.9
1983-04-05,95
1983-05-02,104.2
1984-01-26,45.7
1984-02-27,32.8
1984-03-27,59.6
1984-05-01,42.4
1984-12-14,24
1985-01-31,26.3
1985-02-26,29.9
1985-04-02,37.9
1985-12-27,21.4
1986-01-27,25.9
1986-02-27,62
1986-03-26,72.1
1987-01-01,4.8
1987-01-29,10.4
1987-03-02,33.2
1987-03-30,25.3
1988-01-01,16.7
1988-02-03,26.3
1988-02-25,23.9
1988-09-01,9.1
1989-01-01,22.6
1989-03-01,26.4
1989-03-03,36.5
1989-03-31,47.6
1989-09-01,29.3
1990-02-05,19.2
1990-02-26,24.6
1990-03-30,26.9
1991-02-01,6
1991-03-07,19.9
1991-04-01,33.1
1992-02-27,24.9
1992-03-01,10.1
1992-07-01,26.6
1993-01-28,47.3
1993-03-29,64
1994-02-28,30
1994-03-28,25.2
1995-02-28,58.1
1996-01-29,27.7
1996-02-29,39.8
1996-03-25,48.6
1997-02-25,53.4
1997-03-28,51.5
1998-01-28,27.2
1998-02-27,53.9
1998-03-30,61.6
1999-01-27,33.4
1999-02-23,52.9
1999-03-29,56.1
2000-01-26,22.9
2000-02-25,38.4
2000-03-29,43.7
2001-01-31,14.6
2001-02-28,23.6
2001-03-28,24.4
2002-02-04,30
2002-02-26,35.6
2002-03-27,46
2003-01-28,28
2003-02-26,28.7
2003-03-28,34.6
2004-01-31,31
2004-02-28,42.9
2004-03-24,39.1
2005-01-27,34.3
2005-02-25,41
2005-03-31,52.8
2006-01-25,24
2006-02-24,33.6
2006-07-01,51.9
2007-01-30,11.9
2007-03-01,25.9
2007-03-28,26.3
2008-02-27,36.5
2008-04-01,39.3
2009-01-28,18.3
2009-02-27,33.6
2009-03-25,40.6
2010-01-31,26.6
2010-02-25,33.4
2010-04-03,39.4
2011-02-02,34.3
2011-02-28,46.8
2011-04-01,68.1
2012-01-27,8.5
2012-03-02,14.4
2012-04-02,29.9
2013-01-29,28
2013-01-29,28
2013-02-27,27.6
2013-03-27,29.6
2014-02-01,6.4
2014-03-30,23.6
