"datetime","snow.water.eq.inches"
1982-01-01,12.7
1982-02-01,20.3
1982-03-01,20.9
1982-04-01,33.2
1982-05-01,28.4
1982-06-01,3.6
1983-01-01,29.3
1983-04-01,25.5
1983-05-01,11.8
1983-06-01,0
1984-01-01,30.7
1984-02-01,29.7
1984-03-01,39
1984-04-01,37.9
1984-05-01,30
1984-06-01,0
1985-01-01,18.3
1985-02-01,19.1
1985-03-01,23.5
1985-04-01,32.3
1985-05-01,8.4
1985-06-01,0
1986-01-01,19.5
1986-02-01,24.5
1986-03-01,45.6
1986-04-01,43.3
1986-05-01,25.1
1986-06-01,0
1987-01-01,2.9
1987-02-01,11.5
1987-03-01,18.7
1987-04-01,24
1987-05-01,0
1987-06-01,0
1988-01-01,9.8
1988-02-01,19.1
1988-03-01,16.4
1988-04-01,5.4
1988-05-01,0
1988-06-01,0
1989-01-01,16.3
1989-02-01,18.3
1989-03-01,24.3
1989-04-01,33.9
1989-05-01,19.4
1989-06-01,0
1990-01-01,2.8
1990-02-01,11.9
1990-03-01,18.3
1990-04-01,13.7
1990-05-01,0
1990-06-01,0.4
1991-01-01,3.1
1991-02-01,3.5
1991-03-01,2.4
1991-04-01,20.2
1991-05-01,12.1
1991-06-01,0
1992-01-01,6.1
1992-02-01,6.7
1992-03-01,16.2
1992-04-01,14
1992-05-01,0
1992-06-01,0
1993-01-01,21.1
1993-02-01,39.1
1993-03-01,52.6
1993-04-01,50.5
1993-05-01,41.5
1993-06-01,4.9
1994-01-01,9.4
1994-02-01,12.5
1994-03-01,24.4
1994-04-01,16.6
1994-05-01,0
1994-06-01,0
1995-01-01,21
1995-02-01,43.2
1995-03-01,40.1
1995-04-01,61.7
1995-05-01,60
1995-06-01,36.5
1996-01-01,3.8
1996-02-01,20.3
1996-03-01,30.7
1996-04-01,33.5
1996-05-01,22.2
1996-06-01,0
1997-01-01,23.6
1997-02-01,44.5
1997-03-01,47
1997-04-01,36
1997-05-01,15
1997-06-01,0
1998-01-01,10
1998-02-01,24.3
1998-03-01,46.4
1998-04-01,47.6
1998-05-01,42.8
1998-06-01,30.5
1999-01-01,14.4
1999-02-01,28.8
1999-03-01,51.2
1999-04-01,50.6
1999-05-01,40.7
1999-06-01,5.3
2000-01-01,4.4
2000-02-01,20.5
2000-03-01,42
2000-04-01,37.8
2000-05-01,17.3
2000-06-01,0
2001-01-01,5.8
2001-02-01,10.9
2001-03-01,21.7
2001-04-01,13.7
2001-05-01,5.7
2001-06-01,0
2002-01-01,19.7
2002-02-01,24.5
2002-03-01,26.7
2002-04-01,30.5
2002-05-01,8.1
2002-06-01,0
2003-01-01,22.7
2003-02-01,25.7
2003-03-01,28.5
2003-04-01,24.8
2003-05-01,37.2
2003-06-01,5.2
2004-01-01,19.9
2004-02-01,27
2004-03-01,38.2
2004-04-01,27
2004-05-01,5.9
2004-06-01,0
2005-01-01,18.3
2005-02-01,31.4
2005-03-01,34.3
2005-04-01,42.7
2005-05-01,34.9
2005-06-01,1.8
2006-01-01,10
2006-02-01,24.5
2006-03-01,27.5
2006-04-01,45.6
2006-05-01,46.2
2006-06-01,5.9
2007-01-01,9.2
2007-02-01,11.4
2007-03-01,27.6
2007-04-01,19.6
2007-05-01,4.1
2007-06-01,0
2008-01-01,8.5
2008-02-01,27.8
2008-03-01,37
2008-04-01,33.3
2008-05-01,11.3
2008-06-01,0
2009-01-01,11.9
2009-02-01,14
2009-03-01,27.7
2009-04-01,34.8
2009-05-01,17.7
2009-06-01,0
2010-01-01,13.4
2010-02-01,25.8
2010-03-01,32.9
2010-04-01,39.9
2010-05-01,39.3
2010-06-01,19.9
2011-01-01,31.1
2011-02-01,33.2
2011-03-01,46.9
2011-04-01,70.9
2011-05-01,66.6
2011-06-01,47.7
2012-01-01,2
2012-02-01,5.5
2012-03-01,9.6
2012-04-01,24.2
2012-05-01,12.5
2012-06-01,0
2013-01-01,18
2013-02-01,18.9
2013-03-01,19
2013-04-01,12.6
2013-05-01,0
2013-06-01,0
2014-01-01,2.6
2014-02-01,0.8
2014-03-01,7.7
2014-04-01,10.7
2014-05-01,0.5
2014-06-01,0
