"datetime","snow.water.eq.inches"
1984-01-03,27.5
1984-01-27,28.4
1984-02-24,34.6
1984-03-26,34.9
1984-04-26,33.2
1985-01-02,14.7
1985-01-25,15
1985-02-22,17.3
1985-03-29,25.4
1985-04-30,10.2
1986-01-02,14.2
1986-01-27,16.4
1986-02-26,42.5
1986-03-26,45.7
1986-04-30,28.7
1987-01-26,5.5
1987-02-26,13.8
1987-03-25,18
1987-04-29,0
1988-01-07,9.9
1988-01-27,16.6
1988-03-02,16
1988-03-29,7.3
1988-04-27,0
1989-01-30,16.9
1989-02-27,19.6
1989-03-29,29.3
1989-04-27,16.2
1990-01-25,8.9
1990-02-28,16.7
1990-03-29,15.7
1990-04-30,0
1991-01-03,3.2
1991-01-25,3.2
1991-03-06,9.1
1991-03-29,21
1991-04-29,14.4
1992-01-30,8.2
1992-02-24,15
1992-03-25,15.5
1992-04-29,0
1993-01-04,21.1
1993-01-28,35.7
1993-04-29,38
1994-01-25,7.9
1994-02-24,17.1
1994-03-31,12.2
1994-04-27,1.4
1995-02-03,34.6
1995-03-01,35.1
1995-03-29,56.4
1995-04-26,55.6
1995-12-28,14.6
1996-01-03,6.8
1996-02-01,21.6
1996-03-06,33.9
1996-04-01,34.6
1996-04-30,26.8
1997-01-30,34.6
1997-02-27,37
1997-04-01,30.8
1997-05-01,14.7
1998-04-02,47.9
1999-04-10,40.7
2000-02-29,25.4
2000-03-30,28.4
2001-02-01,10.7
2001-03-01,18.5
2001-03-30,13.7
2001-04-30,9
2002-01-31,20.9
2002-02-28,23.4
2002-03-29,27.8
2002-04-30,14.3
2003-01-31,15.8
2003-02-28,17.4
2003-03-31,17.9
2003-04-29,24.7
2004-02-04,24.6
2004-03-02,27.2
2004-03-31,23.9
2005-01-27,30.2
2005-02-24,39
2005-03-31,38.7
2005-04-29,34.5
2006-01-31,25.8
2006-03-30,41.5
2007-02-02,8.5
2007-03-05,20.9
2007-03-29,14.6
2008-01-30,20.5
2008-02-28,28.3
2008-03-28,24
2008-04-29,9.6
2009-01-30,12
2009-02-28,21.6
2009-03-31,28
2009-04-30,15.4
2010-01-28,20.6
2010-03-01,26
2010-03-26,28
2010-04-29,30.1
2011-01-28,26
2011-02-28,35
2011-03-29,53.5
2011-04-28,48.6
2012-01-31,3
2012-03-02,6.7
2012-03-29,12
2012-04-26,6.7
2013-01-04,19
2013-01-30,20
2013-02-26,21
2013-03-28,17
2013-04-26,2.7
2014-04-28,4
